LOAN_ID,LEGACY_LOAN_ID,LEAD_GUID,PLACEMENT_STATUS,CHARGEOFF_DATE,CHARGEOFF_PRINCIPAL_AMOUNT,SETTLEMENT_STATUS,SETTLEMENT_ACCEPTED_DATE,SETTLEMENT_COMPLETION_DATE,SETTLEMENT_AMOUNT,SETTLEMENT_AMOUNT_PAID
90437,Pb7646d4139c0,417a4ae0-61a4-4ac4-a6f1-b7646d4139c0,Bounce,2024-12-02,18971.80,Active,2025-06-05,,9485.91,
84899,P6cd4e6f4729c,700af63d-8a58-19b2-42d8-6cd4e6f4729c,Bounce,2024-11-24,4516.39,Active,2025-06-12,,3161.47,
90089,P8058c6009db1,131addca-c4d4-c060-4eb7-8058c6009db1,Bounce,2024-11-16,22884.40,Active,2025-06-10,,12586.42,
90427,Pba5e3576521b,a33941bd-a0b9-5dc3-240b-ba5e3576521b,Bounce,2024-10-01,18296.68,Active,2025-06-23,,12807.68,
83409,P7d754b956f5a,5910f1e6-1897-3a71-551c-7d754b956f5a,Bounce,2024-09-15,946.52,Active,2025-06-12,,662.56,
88859,P1e31e4526a24,162f4985-1ade-7664-bd29-1e31e4526a24,Bounce,2024-08-29,21940.91,Active,2025-06-03,,15358.64,
94708,P44ef19c4a8d9,d2cc54e6-3748-b078-b5d5-44ef19c4a8d9,Bounce,2024-08-26,2661.14,Active,2025-06-20,,1863.00,
94455,P9b1ec39eba99,39062802-6024-46c5-3565-9b1ec39eba99,Bounce,2024-08-25,1665.14,Active,2025-06-12,,1165.60,
91903,P5071255963dc,ecf54c35-8886-2d7a-cca2-5071255963dc,Bounce,2024-08-23,19502.79,Active,2025-06-24,,11702.00,
86125,P3656e7153ae2,d0dae91a-ca2d-4969-1dfe-3656e7153ae2,Bounce,2024-08-15,18791.29,Active,2025-06-05,,13153.90,
95060,P780d8d11de03,28188e8d-7df7-440a-bd1c-780d8d11de03,Bounce,2024-08-11,18338.42,Complete,2025-06-24,2025-06-27,11919.97,
94301,P40d1fda9d8f3,c5fbed0e-1219-8109-eed8-40d1fda9d8f3,Bounce,2024-07-28,13830.75,Active,2025-06-02,,9680.00,
85046,P6e9adaea1161,30264128-2c95-6229-d209-6e9adaea1161,Bounce,2024-07-23,13433.03,Complete,2025-06-20,2025-07-07,8731.47,
93551,P09f2ea74e149,aff5ecb3-bf2a-55e3-d73a-09f2ea74e149,Bounce,2024-07-06,16332.99,Active,2025-06-23,,11433.09,
111563,P7e8976c52ac5,d96d3635-e521-3be6-e0d5-7e8976c52ac5,Bounce,2024-06-29,11506.09,Active,,,,
123415,P101b8e561bce,2dcc176c-db87-5df9-cb96-101b8e561bce,Bounce,2024-06-29,8053.28,Complete,,2024-12-20,,5234.63
121885,P7aacd0eed715,9353ec5d-053f-16d3-04b0-7aacd0eed715,Bounce,2024-06-29,6088.18,Active,,,,
122476,Pd021767f574c,856c2e0e-8a0b-43b0-8754-d021767f574c,Bounce,2024-06-27,17936.28,Active,,,,
120699,Pec5cb950cc6b,33067e82-7065-70e0-fe48-ec5cb950cc6b,Bounce,2024-06-27,7253.63,Active,,,,
102904,P86667100fe90,11cd6b95-1aa6-fbee-efaa-86667100fe90,Bounce,2024-06-27,7813.26,Complete,,,,
105467,P5B3069770810,7fe79598-4700-47ad-bf02-5b3069770810,Bounce,2024-06-25,4805.10,Active,,,,
110028,P70b06ef175ce,add6d23e-fd59-c6ec-efb8-70b06ef175ce,Bounce,2024-06-25,11677.88,Active,,,,
110048,P99b6ff39a6b6,4519424e-7f07-3821-672e-99b6ff39a6b6,Bounce,2024-06-25,8755.26,Active,,,,
107325,P8206af347ad3,1fb7b523-ff2a-8c12-a424-8206af347ad3,Bounce,2024-06-22,4082.95,Complete,,,,
88558,Pfb64e2d77f19,4cd9b938-9391-02d6-573c-fb64e2d77f19,Bounce,2024-06-22,2994.93,Complete,2025-06-26,2025-07-07,1497.50,
110371,Pebafdde9e4db,2f086076-0216-31ae-6099-ebafdde9e4db,Bounce,2024-06-22,5034.70,Complete,,,,
104238,Pf542e8710857,9baf7f7f-2a50-e49a-bad6-f542e8710857,Bounce,2024-06-22,11991.39,Complete,,,,
106880,P3fbb6e8dc21f,a02b7785-a9be-facb-f311-3fbb6e8dc21f,Bounce,2024-06-20,2305.62,Complete,,,,
119077,Pd88ff762135d,278fd76d-5e53-5b75-8e6e-d88ff762135d,Bounce,2024-06-19,11190.90,Active,,,,
121517,P069864098ee6,afedb2ac-abad-3f65-6c72-069864098ee6,Bounce,2024-06-18,17203.12,Active,,,,
110654,Pcdcd432514f6,757449ba-a445-ce7f-577f-cdcd432514f6,Bounce,2024-06-18,5340.41,Complete,,,,
113897,P9990ea00d370,5c6743d1-8f2e-b3b9-5824-9990ea00d370,Bounce,2024-06-17,8121.72,Active,,,,
113902,Pd8c352f0ce4b,918a58fc-88b2-ce7a-ea2c-d8c352f0ce4b,Bounce,2024-06-17,4461.47,Complete,,,,
124162,P84ae86b20b04,e1f90ffd-79a2-4f1e-bbc4-84ae86b20b04,Bounce,2024-06-17,15286.81,Active,,,,
122297,Pdad13cdd10d1,e2a8644e-1ac7-42f4-9244-dad13cdd10d1,Bounce,2024-06-17,9306.92,Complete,,,,
124196,P87657ba709d8,4b80980d-d101-411a-bbdb-87657ba709d8,Bounce,2024-06-16,19144.47,Active,,,,
122777,Pf4f78733e1e0,00a27a4d-57fb-4043-96ba-f4f78733e1e0,Bounce,2024-06-15,15475.30,Active,,,,
123234,Pafe9a8009150,08c89f82-97ac-adc7-087f-afe9a8009150,Bounce,2024-06-14,2794.39,Active,,,,
106679,P6c1e78be5651,700a5b9d-aa0a-9959-e17d-6c1e78be5651,Bounce,2024-06-13,4701.61,Active,,,,
117283,P8029e15f6e11,9ec999c8-0716-43ea-a7e8-8029e15f6e11,Bounce,2024-06-10,20932.08,Complete,,,,
117271,P25d9e0ee73b8,f4b99557-ab6c-44a1-badf-25d9e0ee73b8,Bounce,2024-06-09,16938.50,Complete,,,,
120675,Pffeea356fbaf,67206630-1012-aedf-e836-ffeea356fbaf,Bounce,2024-06-09,24269.59,Active,,,,
117799,P13de9dec98be,5ef4e7c9-2cc8-a68e-eb67-13de9dec98be,Bounce,2024-06-07,4830.16,Complete,,,,
121124,P458cc6a5b64d,7d682e9a-070e-2cea-fb12-458cc6a5b64d,Bounce,2024-06-06,21327.96,Complete,,,,
108462,Pb4cbd3ae4100,a40ec8b8-31c8-1da9-9b12-b4cbd3ae4100,Bounce,2024-06-06,761.59,Complete,,,,
111689,P86f7c03d5f05,a51b91de-1dee-8bf1-cbfc-86f7c03d5f05,Bounce,2024-06-05,15526.76,Active,,,,
111683,P00fc9779dd76,48ed77f3-9f5f-00e1-4c00-00fc9779dd76,Bounce,2024-06-05,14444.63,Active,,,,
121056,Pf56082d89d8b,a1f6907f-1269-072a-71b3-f56082d89d8b,Bounce,2024-06-05,6125.68,Complete,,,,
115816,P63d6442b6c71,f870e198-8a75-ddd8-7eb7-63d6442b6c71,Bounce,2024-06-04,6122.78,Active,,,,
122032,P45bebfa80c30,203f3214-37ab-efe5-1fb3-45bebfa80c30,Bounce,2024-06-03,1604.03,Complete,,,,
121912,Pcdaa550ae4d7,5b1c4409-e6ce-cc82-be49-cdaa550ae4d7,Bounce,2024-06-02,6759.20,Active,,,,
119620,P42123d644f86,d46eaa2f-3621-5f92-6d68-42123d644f86,Bounce,2024-05-31,2673.76,Complete,,,,
115012,P1d3d2cef99b1,300a6d6c-4de3-0fa5-e21e-1d3d2cef99b1,Bounce,2024-05-31,15207.69,Complete,,,,
88073,P7ad971302181,6095696c-05bb-4582-3cb6-7ad971302181,Bounce,2024-05-27,6681.67,Complete,2025-06-25,2025-06-12,4343.08,43308.00
111366,P7901de700514,ec5e7ae4-267d-bb6c-71b8-7901de700514,Bounce,2024-05-25,9469.63,Complete,,,,
114037,P27d6ef2755a7,2aa755ed-b160-8d8e-43b8-27d6ef2755a7,Bounce,2024-05-25,522.11,Complete,2024-07-29,2024-08-01,339.27,339.27
109472,P6330a321842c,67e4ab9b-0f5d-d3f6-bc30-6330a321842c,Bounce,2024-05-22,6682.71,Active,,,,
117855,P8274b20976a1,4cb733b2-1cff-5854-f6d4-8274b20976a1,Bounce,2024-05-22,9027.42,Complete,,,,
109969,Pa366fe911cbf,4eeb3e9a-0061-7e87-6ac8-a366fe911cbf,Bounce,2024-05-21,371.98,Complete,,,,
123159,P1d8ec07034d8,9c4ce311-87f3-4144-bbfc-1d8ec07034d8,Bounce,2024-05-20,32599.73,Complete,,,,
107442,P408541e67f9d,b41a4c92-a37b-4f97-3be1-408541e67f9d,Bounce,2024-05-20,2303.09,Active,,,,
107841,Pd3e64b0fd1bd,a2f408e7-0212-7fb7-201a-d3e64b0fd1bd,Bounce,2024-05-20,11537.95,Active,,,,
