Control #,CYCLEDATE,ASOFDATE,REPORTDATE,PAYOFFUID,LOANID,ACCOUNTID,PORTFOLIOID,PORTFOLIONAME,PROGRAMID,EXECUTIONDATE,ORIGINATIONDATE,INDIRECT_PURCHASEDATE,MATURITYDATE,LOANAMOUNT,TERM,INTERESTRATE,APR,ORIGINATIONFEE,INDIRECT_LENDERORIGINATIONFEE,LENDERFUNDINGAMOUNT,INDIRECT_AMOUNTORIGINATIONINTEREST,PREMIUMPRICE,PREMIUMPAID,TENANTNAME,CHANNEL,LOANPURPOSE,LOANTIER,CPVERSION,APPLICANTRESIDENCESTATE,EMPLOYMENTSTATUS,HOUSINGINFORMATION,ANNUALINCOME,BUREAUSCORE,BUREAUSCORETYPE,NDI,DTI,APPMOSSINCEDEROGPUBREC,MLAFLAG,REFRESHEDBUREAUSCORE,REFRESHEDBUREAUSCOREDATE,AGEINMONTHS,FIRSTSCHEDULEDPAYMENTDATE,PAYMENTFREQUENCY,PAYMENTANNIVERSARYDAY,REGULARPAYMENTAMOUNT,LASTPAYMENTDATE,LASTPAYMENTAMOUNT,ACCRUEDINTEREST,BEGINNINGBALANCE,INTERESTPAYMENTAMOUNT,PRINCIPALPAYMENTAMOUNT,RECOVERYPAYMENTAMOUNT,TOTALPAYMENTCOLLECTED,REMAININGPRINCIPAL,SERVICINGFEEAMOUNT,REMITTANCEAMOUNT,INTERESTPAIDTODATE,PRINCIPALPAIDTODATE,RECOVERIESPAIDTODATE,TERMSREMAINING,CURRENTMATURITYDATE,TOTALPRINCIPALWAIVED,NEXTPAYMENTDUEDATE,NEXTPRINCIPALAMOUNTDUE,NEXTINTERESTAMOUNTDUE,SERVICERFEERATE,ANCILLARYFEES,NETPREMIUM,SECONDARY_BUYER,SECONDARY_SELLER,SECONDARY_PURCHASEDATE,SECONDARY_SOLDDATE,LOANCLOSEDDATE,Status,DAYSPASTDUE,PASTDUEINTEREST,CHARGEOFFDATE,PRINCIPALBALANCEATCHARGEOFF,INTERESTBALANCEATCHARGEOFF,LASTCOLLECTIONSCONTACTDATE,REASONFORDELINQUENCY,BANKRUPTCYFLAG,BANKRUPTCYDATE,BANKRUPTCYCHAPTER,MODFLAG,PREVIOUSMODIFICATION,MODREQUESTDATE,STATUSPRIORTOMODIFICATION,LOANBALANCEATMODIFICATION,MODREASON,MODTYPE,MODSTARTDATE,MODENDDATE,MODPROCESSINGDATE,MODMATURITYDATE,MODINTERESTRATE,MODPAYMENTAMOUNT,NUMBERPAYMENTSDEFERRED,PAYMENTFORBEARANCEAMOUNT,BALLOONPAYMENT,MODTERMEXTENSION,SCRAFLAG,SCRASTARTDATE,SCRAENDDATE,CPDFLAG
1,6/1/25,6/30/25,6/30/25,2bbbff4b-f7c3-46ac-a10b-8c91317c97cc,HM8C91317C97CC,159787,56,Fortress,,4/20/25,4/23/25,5/7/25,4/23/28,20000,36,0.205,26.943,1650,0,18350,157.26,-3.5,-700,Happy Money,Unattributed,Debt Consolidation,T5,7.4,GA,Full Time,Rent,73606,708,FICO,1759.71,0.43,-4,N,,,2,5/23/25,Monthly,23,748.38,6/30/25,748.58,0,19435.89,513.05,235.53,0,748.58,19200.36,15.97,732.61,748.94,799.64,0,34,4/30/28,0,7/30/25,,,1.00%,0,-700,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
2,6/1/25,6/30/25,6/30/25,8f239083-2784-4033-b926-12aed63cbdc8,HM12AED63CBDC8,0012M00002Ruz5iQAB,56,Fortress,,5/9/25,5/14/25,5/21/25,5/14/28,10000,36,0.1845,24.016,725,0,9275,35.38,-3.5,-350,Happy Money,Unattributed,Debt Consolidation,T4,7.5,TX,Full Time,Mortgage,52000,702,FICO,1684.73,0.437,-4,N,,,1,6/14/25,Monthly,14,363.79,6/18/25,363.96,59.52,10000,176.92,187.04,0,363.96,9812.96,8.15,355.81,176.92,187.04,0,35,5/14/28,0,7/14/25,,,1.00%,0,-350,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
3,6/1/25,6/30/25,6/30/25,92c5a652-e71a-4c68-a645-da25483339bf,HMDA25483339BF,0012M00002pCv3xQAC,56,Fortress,,5/20/25,5/23/25,6/4/25,5/23/27,7000,24,0.2035,29.263,560,0,6440,46.83,-3.5,-245,Happy Money,Unattributed,Debt Consolidation,T6,7.5,PA,Full Time,Rent,50000,648,FICO,1978.23,0.302,30,N,,,1,6/23/25,Monthly,23,357.47,6/23/25,357.64,26.4,7000,120.98,236.66,0,357.64,6763.34,5.7,351.94,120.98,236.66,0,23,5/23/27,0,7/23/25,,,1.00%,0,-245,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
4,6/1/25,6/30/25,6/30/25,7242da38-d3a5-4f6c-8da6-d40660e68a55,HMD40660E68A55,0012M00002qmytOQAQ,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/15/25,5/20/25,6/4/25,5/20/28,20000,36,0.2105,27.534,1650,0,18350,173.01,-3.5,-700,Happy Money,Unattributed,Debt Consolidation,T6,7.5,GA,Full Time,Rent,64000,654,FICO,1525.6,0.446,-4,N,,,1,6/20/25,Monthly,20,754.01,6/20/25,754.41,113.05,20000,357.56,396.85,0,754.41,19603.15,16.32,738.09,357.56,396.85,0,35,5/20/28,0,7/20/25,,,1.00%,0,-700,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
5,6/1/25,6/30/25,6/30/25,1f18cb6b-0729-4054-998a-c823190b8952,HMC823190B8952,319389,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/8/25,5/13/25,5/21/25,5/13/30,24000,60,0.2075,25.971,2400,0,21600,109.15,-3.5,-840,Happy Money,Affiliates,core,T4,7.5,FL,Part Time,Rent,78000,680,FICO,2584.38,0.395,-4,N,,,1,6/13/25,Monthly,13,645.91,6/21/25,175,120.4,23961.44,392.14,429.2,0,821.34,23532.24,19.44,801.9,528.58,467.76,0,59,5/13/30,0,7/13/25,,,1.00%,0,-840,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
6,6/1/25,6/30/25,6/30/25,71d48bb2-11a9-4538-8d02-f19d2656f6de,HMF19D2656F6DE,118336,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/16/25,4/21/25,5/7/25,4/21/28,20000,36,0.205,26.943,1650,0,18350,179.73,-3.5,-700,Happy Money,Affiliates,core,T5,7.4,CA,Full Time,Rent,108000,726,FICO,3172.32,0.317,-4,N,,,2,5/21/25,Monthly,21,748.38,6/21/25,748.58,96.96,19588.41,341.05,407.53,0,748.58,19180.88,15.99,732.59,678.04,819.12,0,34,4/21/28,0,7/21/25,,,1.00%,0,-700,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
7,6/1/25,6/30/25,6/30/25,5bfb3052-a13b-48bf-8768-233e2e82983f,HM233E2E82983F,118200,56,Fortress,,4/13/25,4/16/25,4/23/25,4/16/28,20000,36,0.194,24.981,1450,0,18550,74.41,-3.5,-700,Happy Money,Affiliates,core,T4,7.4,CO,Full Time,Mortgage,103000,720,FICO,3353.99,0.301,-4,N,,,,5/16/25,Monthly,,737.17,5/24/25,19664.8,0,0,0,0,0,0,0,0,0,402.16,20000,0,0,5/16/25,0,,,,1.00%,0,-700,,CRB_FORTRESS,4/23/25,,5/24/25,Paid In Full,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
8,6/1/25,6/30/25,6/30/25,56eb8451-8c8e-49d9-9b53-a010e3c36fef,HMA010E3C36FEF,187518,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/25/25,4/30/25,5/7/25,4/30/29,20000,48,0.213,27.049,1850,0,18150,81.7,-3.5,-700,Happy Money,Affiliates,Debt Consolidation,T4,7.5,FL,Full Time,Rent,93000,683,FICO,3192.52,0.334,97,N,,,2,5/30/25,Monthly,30,622.55,6/4/25,650,299.78,20000,408.5,241.5,0,650,19758.5,16.26,633.74,408.5,241.5,0,46,4/30/29,0,6/30/25,,,1.00%,0,-700,,CRB_FORTRESS,5/7/25,,,Current,0,595.46,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
9,6/1/25,6/30/25,6/30/25,356261dc-048b-4bd9-9daf-d4d65cead877,HMD4D65CEAD877,0012M00002ayFnBQAU,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/30/25,5/5/25,5/21/25,5/5/28,18000,36,0.1906,25.461,1485,0,16515,150.39,-3.5,-630,Happy Money,Unattributed,Debt Consolidation,T5,7.5,WA,Full Time,Mortgage,186000,681,FICO,4782.98,0.445,-4,N,,,1,6/5/25,Monthly,5,660.35,6/13/25,660.67,157.18,18000,366.58,294.09,0,660.67,17705.91,14.65,646.02,366.58,294.09,0,35,5/16/28,0,7/16/25,,,1.00%,0,-630,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
10,6/1/25,6/30/25,6/30/25,fbff9b0c-75c3-4684-8c3f-db53aaba68eb,HMDB53AABA68EB,118293,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/15/25,4/18/25,5/7/25,4/18/28,17000,36,0.205,26.736,1360,0,15640,181.41,-3.5,-595,Happy Money,Affiliates,Debt Consolidation,T5,7.4,AZ,Full Time,Own,44000,692,FICO,1773.58,0.323,-4,N,,,2,5/18/25,Monthly,18,636.12,6/7/25,636.29,209.23,16545.12,288.07,348.22,0,636.29,16196.9,13.37,622.92,469.48,803.1,0,34,4/7/28,0,7/7/25,,,1.00%,0,-595,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
