LP_LOAN_ID,LOANID,SETTINGS_ID,PLACEMENT_STATUS,PLACEMENT_STATUS_STARTDATE,PLACEMENT_STATUS_ENDDATE
98461,P00062707E49E,98461,Resurgent,2025-07-31,
99603,P0076C4A9DA1A,99603,Resurgent,2025-07-31,
100692,P0080A24AAAFF,100692,Resurgent,2025-07-31,
68471,P008165D0133B,68471,Resurgent,2025-07-31,
99255,P009EF31E965E,99255,Resurgent,2025-07-31,
68703,P00BECEB31BB5,68703,Resurgent,2025-07-31,
69515,P00ED0F8473AF,69515,Resurgent,2025-07-31,
96981,P00F70E650F7B,96981,Resurgent,2025-07-31,
69894,P014DAAE70BC8,69894,Resurgent,2025-07-31,
100934,P014F40DCBCCF,100934,Resurgent,2025-07-31,
98856,P0172230117DC,98856,Resurgent,2025-07-31,
100447,P01C388EFD411,100447,Resurgent,2025-07-31,
100459,P01CD3CB2DEEE,100459,Resurgent,2025-07-31,
100538,P01D5E82EA4BB,100538,Resurgent,2025-07-31,
99262,P01D7294CB98C,99262,Resurgent,2025-07-31,
98617,P01DFFE0EBB84,98617,Resurgent,2025-07-31,
100794,P024C09D097FE,100794,Resurgent,2025-07-31,
100939,P0255EA86B4C1,100939,Resurgent,2025-07-31,
70247,P025CC876D027,70247,Resurgent,2025-07-31,
68525,P028DEFFBBF41,68525,Resurgent,2025-07-31,
96359,P02920A0D1C99,96359,Resurgent,2025-07-31,
99229,P02D76F8B8E34,99229,Resurgent,2025-07-31,
97875,P02EC8EA86EF5,97875,Resurgent,2025-07-31,
97873,P030B3D01B4E2,97873,Resurgent,2025-07-31,
97450,P039241D6BB1E,97450,Resurgent,2025-07-31,
99334,P03AA9B878CA0,99334,Resurgent,2025-07-31,
98886,P03B1B045780E,98886,Resurgent,2025-07-31,
100146,P0458252916C4,100146,Resurgent,2025-07-31,
99764,P04671A39D0A9,99764,Resurgent,2025-07-31,
68517,P048005AD3F7E,68517,Resurgent,2025-07-31,
100749,P0498A59D0E8B,100749,Resurgent,2025-07-31,
97733,P04DDFB6AC300,97733,Resurgent,2025-07-31,
99359,P04EFD40C260C,99359,Resurgent,2025-07-31,
100717,P050825689352,100717,Resurgent,2025-07-31,
99742,P051962BEEF9B,99742,Resurgent,2025-07-31,
97822,P0530FB3A368E,97822,Resurgent,2025-07-31,
96384,P05566CC05E46,96384,Resurgent,2025-07-31,
99554,P056AC1FFD08E,99554,Resurgent,2025-07-31,
68677,P0575BAFEF28A,68677,Resurgent,2025-07-31,
100368,P05D2D6A41132,100368,Resurgent,2025-07-31,
99707,P05DF8A72D140,99707,Resurgent,2025-07-31,
74312,P0608419AB64F,74312,Resurgent,2025-07-31,
99050,P0640B45651D8,99050,Resurgent,2025-07-31,
97113,P06637AE3B338,97113,Resurgent,2025-07-31,
98475,P06805F5AD5D6,98475,Resurgent,2025-07-31,
