LOANID,PAYOFFUID,APPLICANTRESIDENCESTATE,LOANAMOUNT,INTERESTRATE,APR,ORIGINATIONDATE,STATUS,PORTFOLIONAME,PLACEMENT_STATUS,CURRENT_STATE
PB822534FB0D7,9b49eddc-3036-4364-8b32-b822534fb0d7,NY,6000.0000,0.1964,21.990,2020-10-01,Charge off,Payoff FBO Alliant Credit Union,Placed - Bounce,MA
P8E548F3C80D9,b3d99064-9fbb-d58c-afd9-8e548f3c80d9,PA,5000.0000,0.1087,12.990,2022-06-07,Charge off,HIVE Participation,Placed - HM,MA
PCFEEE467B11F,16ef01e9-8551-c2e3-c287-cfeee467b11f,NY,24000.0000,0.0640,6.740,2022-06-10,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PD640CDC661FB,b9d2b97e-6aae-2dfa-b2f5-d640cdc661fb,MT,20500.0000,0.1383,15.990,2021-01-20,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PC8883BEFDA60,35d85961-d339-6f37-00b7-c8883befda60,NY,8000.0000,0.0599,5.990,2021-07-08,Paid in Full,Payoff FBO Teachers Federal Credit Union,Placed - HM,MA
PE3243BBF81E4,6edb92c5-0b4f-b005-7f4c-e3243bbf81e4,CA,16000.0000,0.0665,6.990,2021-04-09,Paid in Full,Payoff FBO USAlliance Federal Credit Union,Placed - HM,MA
P70C36B0BCB63,3454c59a-b471-d212-176d-70c36b0bcb63,TX,10000.0000,0.1591,17.989,2019-12-03,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P42496FDAC4B1,0b9dbebc-ae04-ba63-48aa-42496fdac4b1,TX,6900.0000,0.0599,5.990,2021-11-16,Paid in Full,HIVE Participation,Placed - HM,MA
P0C3B8F433994,1a6815d2-5ec4-5ea1-d92e-0c3b8f433994,VA,10000.0000,0.0996,11.990,2021-02-17,Paid in Full,Payoff FBO Teachers Federal Credit Union,Placed - HM,MA
PB8F99FE697CB,c7500c1e-771a-240f-e40d-b8f99fe697cb,NY,22000.0000,0.1285,14.990,2022-09-08,Charge off,Payoff FBO First Technology Credit Union,Placed - First Tech Credit Union,MA
