APPLICATION_DATE,APPLICATION_FIRST_NAME,APPLICATION_LAST_NAME,APPLICANTRESIDENCESTATE,LOANID,LOANAMOUNT,CURRENT_STATUS,APR,INTERESTRATE,ORIGINATIONDATE
2022-06-15,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P71060884F6D6,40000.0000,Current,20.640,0.1821,2022-06-15
2022-06-10,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PCFEEE467B11F,24000.0000,Current,6.740,0.0640,2022-06-10
2021-11-16,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P42496FDAC4B1,6900.0000,Current,5.990,0.0599,2021-11-16
2021-11-10,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P9112F42D92C6,18000.0000,Current,14.990,0.1285,2021-11-10
2021-08-27,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P2E4DCFA37870,20000.0000,Current,15.990,0.1390,2021-08-27
2021-07-08,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PC8883BEFDA60,8000.0000,Current,5.990,0.0599,2021-07-08
2021-05-07,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P804376D188C1,15000.0000,Paid in Full,5.990,0.0599,2021-05-07
2021-03-29,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PDE5A8553C148,10500.0000,Current,13.990,0.1186,2021-03-29
2021-03-18,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P494430CB5B53,13500.0000,Paid in Full,5.990,0.0599,2021-03-18
2021-03-04,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P29C557189DCA,19000.0000,Current,6.990,0.0665,2021-03-04
2021-03-04,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PA64BBBBC4AC3,6200.0000,Paid in Full,15.990,0.1393,2021-03-04
2021-03-01,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PA1436D732258,40000.0000,Current,6.990,0.0665,2021-03-01
2021-02-26,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P196B090BA88C,20000.0000,Paid in Full,11.990,0.1024,2021-02-26
2021-02-17,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P0C3B8F433994,10000.0000,Current,11.990,0.0996,2021-02-17
2021-01-21,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P7986B91D52F2,7100.0000,Paid in Full,15.990,0.1393,2021-01-21
2021-01-20,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PD640CDC661FB,20500.0000,Current,15.990,0.1383,2021-01-20
2021-01-11,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P592BB4580282,5000.0000,Paid in Full,17.990,0.1581,2021-01-11
2020-11-13,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P461FA0A1B06A,20500.0000,Current,11.990,0.1024,2020-11-13
2020-11-12,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PE7FF87B36C00,20000.0000,Current,9.990,0.0919,2020-11-12
2020-11-05,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P1A3F031DB3A9,30000.0000,Current,11.990,0.1024,2020-11-05
2020-10-15,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P7123E5172310,17000.0000,Current,17.990,0.1572,2020-10-15
2020-10-06,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PA22F265D9C7A,18000.0000,Current,13.990,0.1206,2020-10-06
2020-10-01,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PB822534FB0D7,6000.0000,Charge off,21.990,0.1964,2020-10-01
