ROUTING_NUMBER,BANK_NAME,ACQUISITION_SOURCE,SERIES_TYPE,PRIMARY_USE,TOTAL_LOANS,RECENT_LOANS,ORIGINATION_DAYS_THRESHOLD_BOUNDARY,FRAUD_STATUS_LOANS,FRAUD_CONFIRMED_LOANS,FRAUD_PORTFOLIO_LOANS,ACTIVE_REPAYING,CONFIRMED_FRAUD_CLOSED,CHARGED_OFF,PAID_IN_FULL,EARLIEST_LOAN,LATEST_LOAN,UNIQUE_CUSTOMERS,AVG_LOANS_PER_CUSTOMER,RECENT_ACTIVITY_RISK,FRAUD_RISK_STATUS,AVG_ACCOUNT_AGE_DAYS,EARLIEST_ACCOUNT_CREATION,LATEST_ACCOUNT_CREATION,AVG_REQUESTED_AMOUNT,CAPITAL_PARTNERS_USED,UNIQUE_CAPITAL_PARTNERS,APPLICANT_STATES,UNIQUE_STATES,ACQUISITION_SOURCES,UNIQUE_ACQUISITION_SOURCES
271070801,BMO Bank N.A.,BMO Harris Core,271xxx,ACH only,117,1,48,0,0,1,42,0,48,27,2024-10-29T20:39:11,2025-08-18T18:03:03,116,1.01,LOW,NO_FRAUD_INDICATORS,4361.0,2009-01-30T00:00:00,2020-07-16T00:00:00,18777.78,"Michigan State University Federal Credit Union, USAlliance Federal Credit Union, MSUFCU, First Tech Credit Union, Cross River Bank TM, FTCU, CRB_FORTRESS, USAFCU Insured, Cross River Bank TP, Veridian Credit Union, Blue Federal Credit Union, Alliant Credit Union, GreenState Credit Union., GreenState Credit Union, Technology Credit Union, Teachers Federal Credit Union",16,"IA, TN, MI, TX, DC, IN, MN, AR, WI, SD, FL, OR, GA, MD, CT, CA, MT, MO, OH, PA, CO, OK, IL, NY, AZ, UT",26,"Even Financial, Experian, Bankrate, google, PersonalLoanPro, tu, dm_email, tiktok, sfmc_pif, Guide To Lenders, creditkarma_lightbox, LendingTree, WalletHub, Credible, NerdWallet, sfmc_reapply, nerdwallet, creditkarma, CreditSesame, ig, truebill, perkspot",22
121100782,Bank of the West (BMO),Bank of the West,121xxx,Primary Bank of the West routing,168,0,48,0,0,0,43,0,84,39,2024-11-05T21:30:49,2024-12-26T09:09:02,168,1.00,NONE,NO_FRAUD_INDICATORS,,,,,"Trust, Blue Federal Credit Union, Veridian Credit Union, Alliant Credit Union, Michigan State University Federal Credit Union, Cross River Bank TP, GreenState Credit Union., GreenState Credit Union, First Tech Credit Union, Cross River Bank TM, USAlliance Federal Credit Union, Teachers Federal Credit Union",12,"CO, NY, FL, MT, CA, MN, WI, OR, WY, IN, AZ, NM, GA, IA, ID, KS, UT, MO, NE",19,"Credible, Monevo, tu, Guide To Lenders, creditkarma, mint, google, tiktok, WalletHub, nerdwallet, sfmc_reapply, fb, truebill, LendingTree, Bankrate, NerdWallet, creditkarma_lightbox, Intuit, PersonalLoanPro, CreditSesame, ig, Experian, dm_email, Even Financial",24
122242843,Bank of the West (BMO),Bank of the West,122xxx,ACH only,13,0,48,0,0,0,1,0,8,4,2024-12-13T16:07:30,2024-12-26T04:57:36,13,1.00,NONE,NO_FRAUD_INDICATORS,,,,,"Alliant Credit Union, Trust, Cross River Bank TP, USAlliance Federal Credit Union, First Tech Credit Union, Cross River Bank TM",6,CA,1,"Even Financial, tu, google, LendingTree",4
301171081,Bank of the West (BMO),Bank of the West,301xxx,ACH only,5,0,48,0,0,0,2,0,2,1,2024-11-14T18:04:11,2024-12-26T02:30:38,5,1.00,NONE,NO_FRAUD_INDICATORS,,,,,"First Tech Credit Union, USAlliance Federal Credit Union, Cross River Bank TP, Alliant Credit Union",4,"CO, MO, KS",3,"creditkarma_lightbox, tu",2
075000051,BMO Bank N.A.,BMO Harris Core,075xxx,Tertiary routing number,4,0,48,0,0,0,0,0,2,2,2024-12-03T15:28:54,2024-12-25T21:56:26,4,1.00,NONE,NO_FRAUD_INDICATORS,,,,,"Alliant Credit Union, GreenState Credit Union, First Tech Credit Union",3,"MN, WI",2,"nerdwallet, tu",2
303188111,Bank of the West (BMO),Bank of the West,303xxx,ACH only,3,0,48,0,0,0,1,0,1,1,2024-11-26T21:15:14,2025-03-27T17:46:22,3,1.00,NONE,NO_FRAUD_INDICATORS,253.0,2024-12-09T00:00:00,2024-12-09T00:00:00,40000.0,"Alliant Credit Union, MSUFCU",2,OK,1,"tu, Even Financial",2
071904627,BMO Bank N.A.,Marshall & Ilsley,071xxx,ACH only,2,0,48,0,0,0,0,0,2,0,2024-12-24T22:56:52,2024-12-25T01:28:52,2,1.00,NONE,NO_FRAUD_INDICATORS,,,,,"First Tech Credit Union, Alliant Credit Union",2,IL,1,"creditkarma_lightbox, tu",2
071921176,BMO Bank N.A.,Marshall & Ilsley,071xxx,ACH only,1,0,48,0,0,0,0,0,1,0,2024-12-26T07:34:36,2024-12-26T07:34:36,1,1.00,NONE,NO_FRAUD_INDICATORS,,,,,Cross River Bank TM,1,IL,1,Guide To Lenders,1
074913233,BMO Bank N.A.,BMO Harris Core,074xxx,ACH only,1,0,48,0,0,0,0,0,1,0,2024-12-25T21:37:39,2024-12-25T21:37:39,1,1.00,NONE,NO_FRAUD_INDICATORS,,,,,First Tech Credit Union,1,IN,1,tu,1
101102315,BMO Bank N.A.,BMO Harris Core,101xxx,ACH only,1,0,48,0,0,0,0,0,0,1,2024-12-03T15:17:07,2024-12-03T15:17:07,1,1.00,NONE,NO_FRAUD_INDICATORS,,,,,USAlliance Federal Credit Union,1,MO,1,creditkarma_lightbox,1
