ROUTING_NUMBER,BANK_NAME,ACQUISITION_SOURCE,SERIES_TYPE,PRIMARY_USE,TOTAL_LOANS,RECENT_LOANS,FRAUD_STATUS_LOANS,FRAUD_CONFIRMED_LOANS,FRAUD_PORTFOLIO_LOANS,ACTIVE_REPAYING,CONFIRMED_FRAUD_CLOSED,CHARGED_OFF,PAID_IN_FULL,EARLIEST_LOAN,LATEST_LOAN,UNIQUE_CUSTOMERS,AVG_LOANS_PER_CUSTOMER,RECENT_ACTIVITY_RISK,FRAUD_RISK_STATUS
121100782,Bank of the West (BMO),Bank of the West,121xxx,Primary Bank of the West routing,168,0,0,0,0,45,0,84,37,2024-11-05T21:30:49,2024-12-26T09:09:02,168,1.00,NONE,NO_FRAUD_INDICATORS
271070801,BMO Bank N.A.,BMO Harris Core,271xxx,ACH only,116,0,0,0,1,45,0,45,26,2024-10-29T20:39:11,2025-05-30T18:00:10,115,1.01,NONE,NO_FRAUD_INDICATORS
122242843,Bank of the West (BMO),Bank of the West,122xxx,ACH only,13,0,0,0,0,1,0,8,4,2024-12-13T16:07:30,2024-12-26T04:57:36,13,1.00,NONE,NO_FRAUD_INDICATORS
301171081,Bank of the West (BMO),Bank of the West,301xxx,ACH only,5,0,0,0,0,2,0,2,1,2024-11-14T18:04:11,2024-12-26T02:30:38,5,1.00,NONE,NO_FRAUD_INDICATORS
075000051,BMO Bank N.A.,BMO Harris Core,075xxx,Tertiary routing number,4,0,0,0,0,0,0,2,2,2024-12-03T15:28:54,2024-12-25T21:56:26,4,1.00,NONE,NO_FRAUD_INDICATORS
303188111,Bank of the West (BMO),Bank of the West,303xxx,ACH only,3,0,0,0,0,1,0,1,1,2024-11-26T21:15:14,2025-03-27T17:46:22,3,1.00,NONE,NO_FRAUD_INDICATORS
071904627,BMO Bank N.A.,Marshall & Ilsley,071xxx,ACH only,2,0,0,0,0,0,0,2,0,2024-12-24T22:56:52,2024-12-25T01:28:52,2,1.00,NONE,NO_FRAUD_INDICATORS
071921176,BMO Bank N.A.,Marshall & Ilsley,071xxx,ACH only,1,0,0,0,0,0,0,1,0,2024-12-26T07:34:36,2024-12-26T07:34:36,1,1.00,NONE,NO_FRAUD_INDICATORS
074913233,BMO Bank N.A.,BMO Harris Core,074xxx,ACH only,1,0,0,0,0,0,0,1,0,2024-12-25T21:37:39,2024-12-25T21:37:39,1,1.00,NONE,NO_FRAUD_INDICATORS
101102315,BMO Bank N.A.,BMO Harris Core,101xxx,ACH only,1,0,0,0,0,0,0,0,1,2024-12-03T15:17:07,2024-12-03T15:17:07,1,1.00,NONE,NO_FRAUD_INDICATORS
