routing_number,series_type,acquisition_source,wire_capability,ach_capability,status,bank_name,primary_use,geographic_coverage,notes
071025661,071xxx,BMO Harris Core,Yes,Yes,Active,BMO Bank N.A.,Primary nationwide routing number,All 50 states,Main routing number for all account types
071000288,071xxx,BMO Harris Core,Yes,Yes,Active,BMO Bank N.A.,Secondary routing number,All 50 states,Alternative primary routing number
075000051,075xxx,BMO Harris Core,Yes,Yes,Active,BMO Bank N.A.,Tertiary routing number,All 50 states,Third routing number with full capabilities
063113727,063xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,ACH transfers only
063114580,063xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,ACH transfers only
063115123,063xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,ACH transfers only
067014330,067xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,ACH transfers only
121100782,121xxx,Bank of the West,Yes,Yes,Active,Bank of the West (BMO),Primary Bank of the West routing,Western US,Legacy routing number from 2023 acquisition
122003516,122xxx,Bank of the West,Yes,Yes,Active,Bank of the West (BMO),Wire transfers,Western US,Dedicated wire transfer routing for Bank of the West
121101082,121xxx,Bank of the West,No,Yes,Active,Bank of the West (BMO),ACH only,Regional,Bank of the West legacy number
122038154,122xxx,Bank of the West,No,Yes,Active,Bank of the West (BMO),ACH only,Regional,Bank of the West legacy number
122105647,122xxx,Bank of the West,No,Yes,Active,Bank of the West (BMO),ACH only,Regional,Bank of the West legacy number
122239788,122xxx,Bank of the West,No,Yes,Active,Bank of the West (BMO),ACH only,Regional,Bank of the West legacy number
122242843,122xxx,Bank of the West,No,Yes,Active,Bank of the West (BMO),ACH only,Regional,Bank of the West legacy number
124002735,124xxx,Bank of the West,No,Yes,Active,Bank of the West (BMO),ACH only,Regional,Bank of the West legacy number
273070032,273xxx,Bank of the West,No,Yes,Active,Bank of the West (BMO),ACH only,Regional,Bank of the West legacy number
301171081,301xxx,Bank of the West,No,Yes,Active,Bank of the West (BMO),ACH only,Regional,Bank of the West legacy number
303188111,303xxx,Bank of the West,No,Yes,Active,Bank of the West (BMO),ACH only,Regional,Bank of the West legacy number
304072080,304xxx,Bank of the West,No,Yes,Active,Bank of the West (BMO),ACH only,Regional,Bank of the West legacy number
071102995,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071104430,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071106250,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071900456,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071900595,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071900825,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071902797,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071903136,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071904355,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071904371,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071904478,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071904627,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071905040,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071905846,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
