CHANNEL,APP_ID,GUID,APP_DT,AFFILIATE_LANDED_TS,AFFILIATE_NAME,APP_STATUS
API,2902798,9a6e559a-61a0-400d-9673-82be02198e6d,2025-07-21,2025-07-21T08:19:08,EVEN FINANCIAL,Started
API,2908037,a2270d13-1132-4f73-98cc-45ad9cb606b7,2025-07-21,2025-07-21T21:08:26,LENDINGTREE,Affiliate Landed
API,2916342,64c832a7-abae-4bee-9ea5-b6d5f7bc98e2,2025-07-23,2025-07-23T06:39:26,LENDINGTREE,Affiliate Landed
API,2896961,cc996f78-2d0b-40a3-ab47-605915e79500,2025-07-19,2025-07-19T21:24:45,EVEN FINANCIAL,Affiliate Landed
API,2875888,7edb1f58-b6f0-41d4-9f49-0134e23072dc,2025-07-16,2025-07-18T00:49:26,EVEN FINANCIAL,Affiliate Landed
API,2888002,6d9ad7f0-5673-49d7-8ae0-df50a5a9a66b,2025-07-18,2025-07-18T08:02:48,LENDINGTREE,Affiliate Landed
API,2796555,62db3b16-64f5-4e15-a2ac-c412b394f916,2025-07-03,2025-07-18T12:14:37,CREDITKARMA,Affiliate Landed
API,2899414,6476f2f9-0021-4c29-8355-eb369589edb9,2025-07-20,2025-07-20T13:34:37,EXPERIAN,Affiliate Landed
API,2903696,8ced0c4b-7ae3-43fc-ba6f-0173ee7c7033,2025-07-21,2025-07-21T10:07:52,EVEN FINANCIAL,Affiliate Landed
API,2915508,e202b318-57c7-4050-8b28-802339784acc,2025-07-22,2025-07-22T22:37:30,LENDINGTREE,Affiliate Landed
API,2893335,e8453f61-9c03-4c5e-bd51-9403f81d55f3,2025-07-19,2025-07-19T07:04:03,PERSONALLOANPRO,Affiliate Landed
API,2908656,bdae0fce-f744-462a-89c8-ad5acf201d53,2025-07-22,2025-07-22T04:42:17,EXPERIAN,Affiliate Landed
API,2892519,b1d667e1-5df7-48ca-bec9-c569efc82d5b,2025-07-18,2025-07-18T21:56:43,PRIMERATES,Started
API,2902849,8f110506-459d-4832-ac45-296ab36104ee,2025-07-21,2025-07-21T08:24:45,EVEN FINANCIAL,Affiliate Landed
API,2907469,9097feed-0b81-4d2d-82b1-fbbd647aea00,2025-07-21,2025-07-21T18:51:59,CREDITKARMA,Started
API,2899057,bd0eb576-7b67-405a-8e61-3fe14213e4ff,2025-07-20,2025-07-20T12:11:50,EXPERIAN,Affiliate Landed
API,2905121,71bc1733-befb-4db9-bc78-3ea3923333db,2025-07-21,2025-07-21T12:49:23,PERSONALLOANPRO,Affiliate Landed
API,2906615,c6747577-5404-4cd8-99e3-c08702d4e819,2025-07-21,2025-07-21T16:19:48,EVEN FINANCIAL,Affiliate Landed
API,2894083,fa9820b5-9d71-4e59-902b-744662cb6a92,2025-07-19,2025-07-19T09:39:17,EXPERIAN,Affiliate Landed
