FUNNEL_TYPE,APP_DT,TOTAL_DROPOFFS,STARTED_DROPOFFS,FRAUD_DROPOFFS,AFFILIATE_LANDED_DROPOFFS,STARTED_PCT,FRAUD_PCT
API,2025-06-01,11,1,0,10,9.09,0.00
API,2025-06-02,23,3,0,20,13.04,0.00
API,2025-06-03,26,7,0,18,26.92,0.00
API,2025-06-04,25,2,0,23,8.00,0.00
API,2025-06-05,20,7,0,13,35.00,0.00
API,2025-06-06,14,1,0,13,7.14,0.00
API,2025-06-07,13,2,0,11,15.38,0.00
API,2025-06-08,18,3,0,15,16.67,0.00
API,2025-06-09,26,5,0,21,19.23,0.00
API,2025-06-10,19,3,0,15,15.79,0.00
API,2025-06-11,14,0,0,14,0.00,0.00
API,2025-06-12,24,5,0,19,20.83,0.00
API,2025-06-13,24,2,0,22,8.33,0.00
API,2025-06-14,8,1,0,7,12.50,0.00
API,2025-06-15,8,3,0,5,37.50,0.00
API,2025-06-16,19,4,0,15,21.05,0.00
API,2025-06-17,13,2,0,11,15.38,0.00
API,2025-06-18,16,2,0,14,12.50,0.00
API,2025-06-19,16,1,0,15,6.25,0.00
API,2025-06-20,11,4,0,7,36.36,0.00
API,2025-06-21,11,2,0,9,18.18,0.00
API,2025-06-22,13,3,0,9,23.08,0.00
API,2025-06-23,21,3,0,17,14.29,0.00
API,2025-06-24,20,3,0,17,15.00,0.00
API,2025-06-25,15,1,0,13,6.67,0.00
API,2025-06-26,22,5,0,17,22.73,0.00
API,2025-06-27,16,2,0,14,12.50,0.00
API,2025-06-28,9,2,0,7,22.22,0.00
API,2025-06-29,14,1,0,13,7.14,0.00
API,2025-06-30,16,1,0,15,6.25,0.00
API,2025-07-01,29,5,0,24,17.24,0.00
API,2025-07-02,25,7,0,17,28.00,0.00
API,2025-07-03,26,6,0,20,23.08,0.00
API,2025-07-04,8,1,0,7,12.50,0.00
API,2025-07-05,11,2,0,9,18.18,0.00
API,2025-07-06,15,5,0,10,33.33,0.00
API,2025-07-07,29,4,0,25,13.79,0.00
API,2025-07-08,20,2,0,18,10.00,0.00
API,2025-07-09,21,1,0,20,4.76,0.00
API,2025-07-10,19,0,0,19,0.00,0.00
API,2025-07-11,12,1,0,11,8.33,0.00
API,2025-07-12,7,1,0,6,14.29,0.00
API,2025-07-13,11,3,0,8,27.27,0.00
API,2025-07-14,23,1,0,22,4.35,0.00
