FUNNEL_TYPE,MONTH_YEAR,TOTAL_DROPOFF_APPS,APPS_WITH_FULLSTORY,FULLSTORY_COVERAGE_PCT
API,2025-01-01,457,4,0.88
API,2025-02-01,434,0,0.00
API,2025-03-01,481,22,4.57
API,2025-04-01,562,63,11.21
API,2025-05-01,482,76,15.77
API,2025-06-01,505,68,13.47
API,2025-07-01,631,63,9.98
API,2025-08-01,100,0,0.00
Non-API,2025-01-01,3506,181,5.16
Non-API,2025-02-01,3325,219,6.59
Non-API,2025-03-01,10260,1107,10.79
Non-API,2025-04-01,3813,2760,72.38
Non-API,2025-05-01,4487,3689,82.22
Non-API,2025-06-01,6155,5012,81.43
Non-API,2025-07-01,5717,4274,74.76
Non-API,2025-08-01,651,0,0.00
