MONTH_YEAR,UTM_SOURCE,APP_STATUS,FRAUD_FLAG,LAST_PAGE_VISITED,DROPOFF_COUNT,WITH_FULLSTORY_DATA,COVERAGE_PCT
2025-01-01,,Started,Not Fraud,,1788,0,0.00
2025-01-01,,Fraud Rejected,Fraud,,780,0,0.00
2025-01-01,,Expired,Not Fraud,,383,0,0.00
2025-01-01,,Started,Not Fraud,/apply/loan-details/*,106,106,100.00
2025-01-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,,70,0,0.00
2025-01-01,,ICS,Not Fraud,,62,0,0.00
2025-01-01,GOOGLE,Started,Not Fraud,,40,0,0.00
2025-01-01,CREDITKARMA_LIGHTBOX,Expired,Not Fraud,,33,0,0.00
2025-01-01,NERDWALLET,Started,Not Fraud,,18,0,0.00
2025-01-01,,ICS,Fraud,,17,0,0.00
2025-01-01,CREDITSESAME,Started,Not Fraud,,13,0,0.00
2025-01-01,,Started,Not Fraud,/apply/about-you/*,12,12,100.00
2025-01-01,SFMC_ACQUISITION,Started,Not Fraud,,10,0,0.00
2025-01-01,,Declined,Not Fraud,,10,0,0.00
2025-02-01,,Started,Not Fraud,,1861,0,0.00
2025-02-01,,Fraud Rejected,Fraud,,752,0,0.00
2025-02-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,,129,0,0.00
2025-02-01,GOOGLE,Started,Not Fraud,,106,0,0.00
2025-02-01,,Started,Not Fraud,/apply/loan-details/*,100,100,100.00
2025-02-01,,ICS,Not Fraud,,44,0,0.00
2025-02-01,CREDITKARMA_LIGHTBOX,Fraud Rejected,Fraud,,37,0,0.00
2025-02-01,NERDWALLET,Started,Not Fraud,,24,0,0.00
2025-02-01,CREDITSESAME,Started,Not Fraud,,24,0,0.00
2025-02-01,,Started,Not Fraud,/apply/about-you/*,24,24,100.00
2025-02-01,SFMC_ACQUISITION,Started,Not Fraud,,18,0,0.00
2025-02-01,,Withdrawn,Not Fraud,,12,0,0.00
2025-02-01,SFMC_PD_DQ_EMAIL,Started,Not Fraud,,11,0,0.00
2025-02-01,SFMC_REAPPLY30,Started,Not Fraud,,10,0,0.00
2025-02-01,CREDITKARMA,Started,Not Fraud,,10,0,0.00
2025-03-01,,Fraud Rejected,Fraud,,6783,0,0.00
2025-03-01,,Started,Not Fraud,,1983,0,0.00
2025-03-01,,Started,Not Fraud,/apply/loan-details/*,390,390,100.00
2025-03-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,,105,0,0.00
2025-03-01,,Started,Not Fraud,/apply/about-you/*,94,94,100.00
2025-03-01,CREDITKARMA_LIGHTBOX,Fraud Rejected,Fraud,,70,0,0.00
2025-03-01,,Started,Not Fraud,/apply/contact-details/*,65,65,100.00
2025-03-01,SFMC_ACQUISITION,Started,Not Fraud,,57,0,0.00
2025-03-01,,Started,Not Fraud,/login,38,38,100.00
2025-03-01,,ICS,Not Fraud,,36,0,0.00
2025-03-01,,Started,Not Fraud,/apply/financial-details/*,35,35,100.00
2025-03-01,,Started,Not Fraud,/apply/non-op-state/*,32,32,100.00
2025-03-01,,Started,Not Fraud,/apply/application-summary/*,16,16,100.00
2025-03-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/loan-details/*,14,14,100.00
2025-03-01,CREDITKARMA,Started,Not Fraud,,12,0,0.00
2025-03-01,KOVO,Started,Not Fraud,,12,0,0.00
2025-03-01,NERDWALLET,Started,Not Fraud,,11,0,0.00
2025-03-01,SFMC_PIF,Started,Not Fraud,/apply/about-you/*,11,11,100.00
2025-03-01,CREDITSESAME,Started,Not Fraud,,10,0,0.00
2025-03-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/about-you/*,10,10,100.00
2025-03-01,,Started,Not Fraud,/apply/route/application/*,10,10,100.00
2025-03-01,SFMC_ACQUISITION,Fraud Rejected,Fraud,,10,0,0.00
2025-04-01,,Started,Not Fraud,/apply/loan-details/*,991,991,100.00
2025-04-01,,Started,Not Fraud,,808,3,0.37
2025-04-01,,Started,Not Fraud,/apply/about-you/*,304,304,100.00
2025-04-01,,Fraud Rejected,Fraud,,195,0,0.00
2025-04-01,,Started,Not Fraud,/login,140,140,100.00
2025-04-01,GOOGLE,Started,Not Fraud,/apply/loan-details/*,128,128,100.00
2025-04-01,,Started,Not Fraud,/apply/contact-details/*,121,121,100.00
2025-04-01,,Started,Not Fraud,/apply/non-op-state/*,88,88,100.00
2025-04-01,,Started,Not Fraud,/apply/financial-details/*,79,79,100.00
2025-04-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/loan-details/*,52,52,100.00
2025-04-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/about-you/*,38,38,100.00
2025-04-01,,Started,Not Fraud,/apply/application-summary/*,32,32,100.00
2025-04-01,GOOGLE,Started,Not Fraud,/apply/about-you/*,30,30,100.00
2025-04-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/financial-details/*,29,29,100.00
2025-04-01,,Started,Not Fraud,/apply/route/application/*,24,24,100.00
2025-04-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/contact-details/*,20,20,100.00
2025-04-01,,Fraud Rejected,Fraud,/apply/about-you/*,16,16,100.00
2025-04-01,,Fraud Rejected,Fraud,/apply/route/application/*,13,13,100.00
2025-04-01,,Fraud Rejected,Fraud,/apply/contact-details/*,13,13,100.00
2025-04-01,,ICS,Not Fraud,,12,0,0.00
2025-04-01,,Fraud Rejected,Fraud,/apply/financial-details/*,12,12,100.00
2025-04-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/application-summary/*,11,11,100.00
2025-04-01,GOOGLE,Started,Not Fraud,/apply/financial-details/*,11,11,100.00
2025-04-01,GOOGLE,Started,Not Fraud,,11,0,0.00
2025-04-01,,Fraud Rejected,Fraud,/login,10,10,100.00
2025-05-01,,Started,Not Fraud,/apply/loan-details/*,911,911,100.00
2025-05-01,GOOGLE,Started,Not Fraud,/apply/loan-details/*,511,511,100.00
2025-05-01,,Started,Not Fraud,,358,1,0.28
2025-05-01,,Started,Not Fraud,/apply/about-you/*,266,266,100.00
2025-05-01,,Fraud Rejected,Fraud,,225,0,0.00
2025-05-01,,Started,Not Fraud,/apply/contact-details/*,150,150,100.00
2025-05-01,TU,Started,Not Fraud,,147,0,0.00
2025-05-01,GOOGLE,Started,Not Fraud,/apply/about-you/*,105,105,100.00
2025-05-01,,Started,Not Fraud,/apply/non-op-state/*,104,104,100.00
2025-05-01,,Started,Not Fraud,/apply/financial-details/*,94,94,100.00
2025-05-01,,Started,Not Fraud,/login,87,87,100.00
2025-05-01,TU,Started,Not Fraud,/apply/api-dm-app-summary/*,67,67,100.00
2025-05-01,,Started,Not Fraud,/apply/application-summary/*,47,47,100.00
2025-05-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/about-you/*,47,47,100.00
2025-05-01,BING,Started,Not Fraud,/apply/loan-details/*,45,45,100.00
2025-05-01,GOOGLE,Started,Not Fraud,/apply/financial-details/*,45,45,100.00
2025-05-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/loan-details/*,39,39,100.00
2025-05-01,GOOGLE,Started,Not Fraud,/login,32,32,100.00
2025-05-01,GOOGLE,Started,Not Fraud,,31,1,3.23
2025-05-01,GOOGLE,Started,Not Fraud,/apply/contact-details/*,29,29,100.00
2025-05-01,,Fraud Rejected,Fraud,/login,26,26,100.00
2025-05-01,BING,Started,Not Fraud,/apply/about-you/*,23,23,100.00
2025-05-01,GOOGLE,Started,Not Fraud,/apply/route/application/*,20,20,100.00
2025-05-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/financial-details/*,18,18,100.00
2025-05-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/contact-details/*,18,18,100.00
2025-05-01,GOOGLE,Started,Not Fraud,/apply/application-summary/*,18,18,100.00
2025-05-01,,Started,Not Fraud,/apply/route/application/*,14,14,100.00
2025-05-01,KOVO,Started,Not Fraud,/apply/loan-details/*,13,13,100.00
2025-05-01,,Fraud Rejected,Fraud,/apply/route/application/*,13,13,100.00
2025-05-01,PENNYHOARDER2,Started,Not Fraud,/apply/loan-details/*,11,11,100.00
2025-05-01,BING,Started,Not Fraud,/apply/contact-details/*,11,11,100.00
2025-05-01,BING,Started,Not Fraud,/apply/financial-details/*,11,11,100.00
2025-05-01,CREDITKARMA_LIGHTBOX,Started,Not Fraud,/apply/application-summary/*,10,10,100.00
2025-05-01,GOOGLE,Fraud Rejected,Fraud,/apply/route/application/*,10,10,100.00
2025-06-01,,Started,Not Fraud,/apply/loan-details/*,873,873,100.00
2025-06-01,GOOGLE,Started,Not Fraud,/apply/loan-details/*,572,572,100.00
2025-06-01,,Started,Not Fraud,,385,0,0.00
2025-06-01,TU,Started,Not Fraud,,354,0,0.00
2025-06-01,,Started,Not Fraud,/apply/about-you/*,248,248,100.00
2025-06-01,,Fraud Rejected,Fraud,,239,0,0.00
2025-06-01,GOOGLE,Started,Not Fraud,/apply/about-you/*,161,161,100.00
2025-06-01,BING,Started,Not Fraud,/apply/loan-details/*,139,139,100.00
2025-06-01,,Started,Not Fraud,/apply/contact-details/*,129,129,100.00
2025-06-01,,Started,Not Fraud,/login,120,120,100.00
2025-06-01,,Fraud Rejected,Fraud,/apply/route/application/*,113,113,100.00
2025-06-01,,Started,Not Fraud,/apply/non-op-state/*,100,100,100.00
2025-06-01,,Started,Not Fraud,/apply/application-summary/*,83,83,100.00
2025-06-01,GOOGLE,Fraud Rejected,Fraud,/apply/route/application/*,66,66,100.00
2025-06-01,,Started,Not Fraud,/apply/financial-details/*,63,63,100.00
2025-06-01,GOOGLE,Started,Not Fraud,,60,4,6.67
2025-06-01,GOOGLE,Started,Not Fraud,/apply/financial-details/*,57,57,100.00
