CHANNEL,APP_ID,GUID,APP_DT,APP_TS,AFFILIATE_NAME,APP_STATUS,AUTOMATED_FRAUD_DECLINE_YN,MANUAL_FRAUD_DECLINE_YN
Non-API,2961103,214d4b7f-a735-4f94-90d5-1f757f8c4159,2025-07-30,2025-07-30T10:27:48,GOOGLE,Started,N,N
Non-API,2947717,b9d5095c-e84c-4624-9aba-18fe079baa95,2025-07-28,2025-07-28T12:14:56,GOOGLE,Started,N,N
Non-API,2935086,e0b82154-638a-4f66-b6fb-82e5604eac9e,2025-07-26,2025-07-26T06:23:45,,Started,N,N
Non-API,2966407,9dcce280-7cb4-4ec9-8f66-9c8931f958a2,2025-07-31,2025-07-31T04:22:40,,Started,N,N
Non-API,2821336,60e9707e-d9db-4bb3-afa1-ae055cb4cb9a,2025-07-08,2025-07-08T08:20:57,,Started,N,N
Non-API,2974953,3241f293-435b-4caf-bb8d-9c75c099902f,2025-08-01,2025-08-01T09:59:15,,Started,N,N
Non-API,2803334,af47de95-35d8-42dd-ada8-76f5628beb68,2025-07-04,2025-07-04T19:30:56,GOOGLE,Started,N,N
Non-API,2890662,c7994454-3ffc-4d09-ad67-42eab1cd2bca,2025-07-18,2025-07-18T14:12:56,TU,Started,N,N
Non-API,2912394,7520a015-5994-47b4-bd14-715a494287c3,2025-07-22,2025-07-22T13:16:31,TU,Started,N,N
Non-API,2919808,9c885a18-47ba-42eb-8fc0-da9257882bd8,2025-07-23,2025-07-23T14:53:24,,Started,N,N
Non-API,2900087,d573c644-c7b0-4293-9bc6-ee57021bec50,2025-07-20,2025-07-20T16:06:22,,Started,N,N
Non-API,2908104,beea4e14-1177-494f-ab42-459536947591,2025-07-21,2025-07-21T21:30:34,TU,Started,N,N
Non-API,2900400,dcdd3dc0-1186-447a-9ff2-30442f19b626,2025-07-20,2025-07-20T17:21:37,,Started,N,N
Non-API,2898108,ec0153fd-b2a7-4898-9532-f74a787eefce,2025-07-20,2025-07-20T08:31:59,,Started,N,N
