LP_LOAN_ID,LOANID,SETTINGS_ID,PLACEMENT_STATUS,PLACEMENT_STATUS_STARTDATE,PLACEMENT_STATUS_ENDDATE
5607,P6352A0AFAE3E,5607,Bounce,2025-08-08,
12405,PA49B731AD37E,12405,Bounce,2025-08-08,
20718,PD3E30C9DC5AE,20718,Bounce,2025-08-08,
69366,PE6C7F28BC9D5,69366,Bounce,2025-08-08,
68288,PFFF4B0674266,68288,Bounce,2025-08-11,
68489,PB6512C3145E0,68489,Bounce,2025-08-08,
29799,P89681CC2D3AD,29799,Bounce,2025-08-08,
39292,P07F9E8642223,39292,Bounce,2025-08-08,
66666,P238B35675C0C,66666,Bounce,2025-08-08,
38790,P8848B0058168,38790,Bounce,2025-08-08,
28585,PFEBC689BE088,28585,Bounce,2025-08-08,
5705,PB7362D4EAA7F,5705,Bounce,2025-08-08,
45907,P48416178E44A,45907,Bounce,2025-08-08,
70825,P84FE4672D51B,70825,Bounce,2025-08-08,
50426,P9A5BACCFFDBC,50426,Bounce,2025-08-08,
7778,PCFC1A6E2671A,7778,Bounce,2025-08-08,
15857,PC36A538CD7E5,15857,Bounce,2025-08-08,
42782,P14AFC94B246B,42782,Bounce,2025-08-08,
18823,PAF549B37365A,18823,Bounce,2025-08-08,
68076,PD90429C20AC6,68076,Bounce,2025-08-08,
70217,PFAB4C245B59B,70217,Bounce,2025-08-11,
57943,P121E9EAD6170,57943,Bounce,2025-08-11,
53473,P5919F9E35260,53473,Bounce,2025-08-08,
42760,P210FD50E08A6,42760,Bounce,2025-08-08,
68060,P0EEA95A54FD1,68060,Bounce,2025-08-08,
53294,PA9839BD24F9A,53294,Bounce,2025-08-08,
70449,P40F7F1E472D9,70449,Bounce,2025-08-11,
74824,PBE4BEB4B6049,74824,Bounce,2025-08-08,
12475,P1CFFDDD009CF,12475,Bounce,2025-08-08,
73989,PAD1AC8E33367,73989,Bounce,2025-08-08,
16733,PA1CC21ABD9BA,16733,Bounce,2025-08-08,
43211,P143E6DD55C08,43211,Bounce,2025-08-08,
52394,PDF82B2114D3B,52394,Bounce,2025-08-08,
36675,P25DFAECA905C,36675,Bounce,2025-08-08,
48461,PACFC9B1C71E0,48461,Bounce,2025-08-08,
40935,P50B6157FDE56,40935,Bounce,2025-08-08,
58113,P5412B21E8118,58113,Bounce,2025-08-11,
71013,P31A9EDBEB5BA,71013,Bounce,2025-08-11,
73493,P98C593B78C51,73493,Bounce,2025-08-08,
16664,PF6AFF2F199AA,16664,Bounce,2025-08-08,
35245,P5FFC0E257A2C,35245,Bounce,2025-08-08,
43248,PEB01DED57011,43248,Bounce,2025-08-08,
70768,PC30495D92417,70768,Bounce,2025-08-08,
74175,PD3F9D1A40346,74175,Bounce,2025-08-08,
73856,P54652FFDF1B8,73856,Bounce,2025-08-08,
72460,P44308A672D78,72460,Bounce,2025-08-11,
66669,P8D2CE76E5A9C,66669,Bounce,2025-08-08,
63506,P1EC6D9E3231E,63506,Bounce,2025-08-08,
52325,P8F19AC53BEBC,52325,Bounce,2025-08-08,
34644,PDF7760C62A64,34644,Bounce,2025-08-08,
67281,PE16E295F33FF,67281,Bounce,2025-08-08,
58387,P8EF59AB97528,58387,Bounce,2025-08-11,
72498,PB98F04EF4C78,72498,Bounce,2025-08-08,
68765,P34B47B326B25,68765,Bounce,2025-08-08,
72014,PEC117EF2981A,72014,Bounce,2025-08-08,
44859,P26396841ABB8,44859,Bounce,2025-08-08,
67967,P1AEB24DE6BF4,67967,Bounce,2025-08-08,
73429,P540F202DC0FF,73429,Bounce,2025-08-08,
72479,PA097266E4DB6,72479,Bounce,2025-08-08,
21259,PD6D50DC45424,21259,Bounce,2025-08-08,
73109,PA4D888AD4159,73109,Bounce,2025-08-11,
60198,P47C51E8142F5,60198,Bounce,2025-08-11,
64416,PE0FC7C39C602,64416,Bounce,2025-08-08,
71431,PDB594AC23563,71431,Bounce,2025-08-08,
22714,PC9748D746DCF,22714,Bounce,2025-08-08,
73003,P42544EF2A748,73003,Bounce,2025-08-08,
74255,PE973BC9AD221,74255,Bounce,2025-08-08,
73950,P8A5507BED9DE,73950,Bounce,2025-08-08,
69612,P2F26D385F695,69612,Bounce,2025-08-08,
21978,P25250C5C1001,21978,Bounce,2025-08-08,
58536,P8377B47F160E,58536,Bounce,2025-08-11,
66218,P8BCBD370990D,66218,Bounce,2025-08-08,
51478,PB0E224CD608A,51478,Bounce,2025-08-08,
37326,P8F41ED83B194,37326,Bounce,2025-08-08,
69216,P8949AB65E0A0,69216,Bounce,2025-08-08,
73334,PA1DC8E0293C3,73334,Bounce,2025-08-08,
11675,PC88EAA125D84,11675,Bounce,2025-08-08,
67234,P47534B9A5850,67234,Bounce,2025-08-08,
73398,PD8307A1E7414,73398,Bounce,2025-08-08,
70700,PCCF1F415545E,70700,Bounce,2025-08-08,
69607,PE95018EB6A7F,69607,Bounce,2025-08-08,
65062,P8DE7C265AE0B,65062,Bounce,2025-08-11,
67276,P166541B5EDC0,67276,Bounce,2025-08-11,
3762,P81A9DD39FBD4,3762,Bounce,2025-08-08,
59520,P617E665C5423,59520,Bounce,2025-08-11,
61156,P010BE2274807,61156,Bounce,2025-08-11,
7644,P5E1A0877D108,7644,Bounce,2025-08-08,
69965,P7C4D63471FEA,69965,Bounce,2025-08-11,
59818,PCDEE42D24546,59818,Bounce,2025-08-11,
61528,P1D2E4305FE7E,61528,Bounce,2025-08-08,
73841,PC1845AF11510,73841,Bounce,2025-08-08,
4663,P6D1222C41D90,4663,Bounce,2025-08-08,
16874,P832B4EA7BE8C,16874,Bounce,2025-08-08,
60766,PBE5C02279466,60766,Bounce,2025-08-11,
45098,P48FBF95D07C8,45098,Bounce,2025-08-08,
65580,P46E804F7AB2A,65580,Bounce,2025-08-08,
74266,P5FEC9883EC15,74266,Bounce,2025-08-08,
36726,PF3EF6F9DCA7D,36726,Bounce,2025-08-08,
61623,PD4AA105085E7,61623,Bounce,2025-08-08,
29575,P10F6E8B137F7,29575,Bounce,2025-08-08,
69678,PA59CD48D4921,69678,Bounce,2025-08-11,
67821,P95BB56C3671F,67821,Bounce,2025-08-08,
24493,P5E9BFC9BB42A,24493,Bounce,2025-08-08,
166,P6434439865D4,166,Bounce,2025-08-08,
34556,PF571C112163A,34556,Bounce,2025-08-08,
73067,P323345E277E8,73067,Bounce,2025-08-08,
72934,PE9B3167385AB,72934,Bounce,2025-08-08,
67225,P512ED77E184F,67225,Bounce,2025-08-08,
72347,P1CAC397F2692,72347,Bounce,2025-08-08,
72600,P690CD495A38B,72600,Bounce,2025-08-08,
73362,PFB360239FBB1,73362,Bounce,2025-08-08,
42250,P9E475370292B,42250,Bounce,2025-08-08,
51897,P2A23743488AC,51897,Bounce,2025-08-08,
15250,P02D375814254,15250,Bounce,2025-08-08,
53206,P4534D7E5823E,53206,Bounce,2025-08-08,
67928,P21219C41DFE4,67928,Bounce,2025-08-08,
62889,P7D127AADD61A,62889,Bounce,2025-08-11,
69540,P507D85FDBDE5,69540,Bounce,2025-08-08,
12997,PFCDA89CFB55F,12997,Bounce,2025-08-08,
35086,PB0C6E9CCE299,35086,Bounce,2025-08-08,
35015,P4A185D02A14D,35015,Bounce,2025-08-08,
74945,P7C8425DC2E1C,74945,Bounce,2025-08-08,
48540,PC840DD7A5F6F,48540,Bounce,2025-08-08,
70662,PCEBCECED28BD,70662,Bounce,2025-08-08,
43811,P96F451C5292E,43811,Bounce,2025-08-08,
68905,PE79BF7A184CE,68905,Bounce,2025-08-08,
72242,PC61A7D5B463C,72242,Bounce,2025-08-08,
72653,PBB7C94F2849D,72653,Bounce,2025-08-11,
72520,PF41BAC762FC5,72520,Bounce,2025-08-11,
38781,P00887C82D8BC,38781,Bounce,2025-08-08,
73475,PBC11B50D6D85,73475,Bounce,2025-08-08,
70301,PD359CF37C798,70301,Bounce,2025-08-08,
38827,PA6577D794A92,38827,Bounce,2025-08-08,
37928,P46B01E85D0EB,37928,Bounce,2025-08-08,
45308,PEDA9E38B4782,45308,Bounce,2025-08-08,
5770,PFB28DF8230A4,5770,Bounce,2025-08-08,
41838,P50F58E4B6963,41838,Bounce,2025-08-08,
29911,P87D34C521DD0,29911,Bounce,2025-08-08,
56604,PFF1CFABC5410,56604,Bounce,2025-08-11,
50467,PE73DAAFC3635,50467,Bounce,2025-08-08,
70796,PDFFB483206CC,70796,Bounce,2025-08-11,
28536,P8121F48B598D,28536,Bounce,2025-08-08,
16989,PA7424C94B54C,16989,Bounce,2025-08-08,
69541,P4B60B29707C5,69541,Bounce,2025-08-08,
71621,P966276E70AF4,71621,Bounce,2025-08-11,
72565,PC2619F2BC55B,72565,Bounce,2025-08-08,
57100,PB250B77CEFA9,57100,Bounce,2025-08-11,
69369,P61E3334B957F,69369,Bounce,2025-08-08,
72295,P9816FD1B194E,72295,Bounce,2025-08-08,
67265,PEAECD206BFD2,67265,Bounce,2025-08-08,
26687,PA144651DAECC,26687,Bounce,2025-08-08,
73096,PEAD75C4B926E,73096,Bounce,2025-08-08,
66501,P22BBE4A2EB6B,66501,Bounce,2025-08-08,
37990,PE5856B3DC886,37990,Bounce,2025-08-08,
32941,P5F3BAA76EF5A,32941,Bounce,2025-08-08,
72629,PBF9B32EF54DA,72629,Bounce,2025-08-08,
60299,P0A6C89E9440F,60299,Bounce,2025-08-11,
54471,P7A554CD6747D,54471,Bounce,2025-08-08,
23825,P3D4F4B94DDC2,23825,Bounce,2025-08-08,
74288,P82F35C984F91,74288,Bounce,2025-08-11,
59640,P0185AF59BDD2,59640,Bounce,2025-08-11,
67315,P2CF8EE5AC22F,67315,Bounce,2025-08-11,
68768,P78C3BC45E97B,68768,Bounce,2025-08-08,
73020,P694610DE62CC,73020,Bounce,2025-08-08,
25900,P5B275980BB71,25900,Bounce,2025-08-08,
68280,P608A7980C7EE,68280,Bounce,2025-08-08,
63595,P394A48D64472,63595,Bounce,2025-08-11,
66616,P32B4F8419F87,66616,Bounce,2025-08-08,
73363,PC8F1CA8EA2AD,73363,Bounce,2025-08-08,
69732,PDB1A873F5523,69732,Bounce,2025-08-11,
35408,P42A401B70810,35408,Bounce,2025-08-08,
35066,P0A0D92FB1E35,35066,Bounce,2025-08-08,
45889,PD438142BD226,45889,Bounce,2025-08-08,
72067,PD8A1AB47A2B3,72067,Bounce,2025-08-08,
55454,P97A4A8BDDCCF,55454,Bounce,2025-08-11,
49471,PD02700532A90,49471,Bounce,2025-08-08,
34812,PA4B938271241,34812,Bounce,2025-08-08,
53961,PC7601A47D843,53961,Bounce,2025-08-08,
72788,P7B81952CF214,72788,Bounce,2025-08-08,
12722,P2D03EF594793,12722,Bounce,2025-08-08,
72194,P7E428A188092,72194,Bounce,2025-08-11,
72398,P8904A2623231,72398,Bounce,2025-08-08,
38637,P7B30F11B6401,38637,Bounce,2025-08-08,
72705,P4C3D87B10EF4,72705,Bounce,2025-08-08,
24766,PFF8CBFF150BC,24766,Bounce,2025-08-08,
66637,PCC49847D523F,66637,Bounce,2025-08-08,
8716,PA81275795F58,8716,Bounce,2025-08-08,
2946,PDD1E55ABCA81,2945,Bounce,2025-08-08,
74973,P1E3B97B11A76,74973,Bounce,2025-08-08,
73318,P513D444719DE,73318,Bounce,2025-08-08,
65284,P1EDE46D3D498,65284,Bounce,2025-08-11,
75194,P6787473B2429,75194,Bounce,2025-08-08,
72258,P8D1932DA7974,72258,Bounce,2025-08-08,
63843,P608D53FAAF5F,63843,Bounce,2025-08-11,
72637,P6EEED0D5A7D4,72637,Bounce,2025-08-11,
72477,P893E89F56AD7,72477,Bounce,2025-08-08,
50883,PA81622AC8689,50883,Bounce,2025-08-08,
18717,PF00FD03E0C4F,18717,Bounce,2025-08-08,
44986,P6391DE56DC6D,44986,Bounce,2025-08-08,
72123,P30F5AA2CBB9C,72123,Bounce,2025-08-08,
39729,PD860CD0E5221,39729,Bounce,2025-08-08,
22494,PF2F4DBAA7D61,22494,Bounce,2025-08-08,
69077,P11082797D5EA,69077,Bounce,2025-08-11,
67866,PF9410E05A891,67866,Bounce,2025-08-08,
36653,P28B67D37D46D,36653,Bounce,2025-08-08,
65793,PA327431C0B9D,65793,Bounce,2025-08-08,
73031,PD41A1AFF5FCD,73031,Bounce,2025-08-08,
37099,P5F4D6913C123,37099,Bounce,2025-08-08,
36076,P21E42209786D,36076,Bounce,2025-08-08,
74088,PED4B05FDC43F,74088,Bounce,2025-08-08,
5248,PFC727F5ACBE7,5248,Bounce,2025-08-08,
35875,P3A9DCC4B604E,35875,Bounce,2025-08-08,
56097,P5907A2F6469D,56097,Bounce,2025-08-11,
57619,P6F4F503FEB3E,57619,Bounce,2025-08-08,
67537,PCF8C62E99B5D,67537,Bounce,2025-08-08,
42606,P87E7BC574789,42606,Bounce,2025-08-08,
359,PCD3C736224B9,358,Bounce,2025-08-08,
36943,P79020CD7F61F,36943,Bounce,2025-08-08,
38792,PC7CBC950D860,38792,Bounce,2025-08-08,
71759,P9912D0CB6B80,71759,Bounce,2025-08-08,
49173,P61C7CF457ECA,49173,Bounce,2025-08-08,
67772,P2E633E5A3290,67772,Bounce,2025-08-08,
45166,P4C4DFE2232EC,45166,Bounce,2025-08-08,
50569,P26A0EA02DD5D,50569,Bounce,2025-08-08,
73226,P999EA8C779D6,73226,Bounce,2025-08-08,
68476,PE4A017E4E875,68476,Bounce,2025-08-11,
47200,PE1B92D8D839F,47200,Bounce,2025-08-08,
35295,PCB3F11C333BE,35295,Bounce,2025-08-08,
72993,P7E7F0C7B0BD7,72993,Bounce,2025-08-08,
61773,PD14469E1857B,61773,Bounce,2025-08-11,
74033,PF7EC5A002B53,74033,Bounce,2025-08-08,
40837,PE025D2CAC4CE,40837,Bounce,2025-08-08,
72047,P9D285B039037,72047,Bounce,2025-08-08,
