Assignment Date,Status,Batch,Product,Original Creditor,Account Public ID,External Account ID,Creditor Recalled?,Has Valid SSN?,Has User Name?,Has Email?,Has Phone?,Has Address?,No Origination Date,Is Deceased?,Is Bankruptcy?,User ID,Account ID,Charge Off Amount ($),Charge Off Date,Last payment Amount ($),Last Payment Date,Face Value ($)
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0636223496,P62B9102D6820,False,True,True,True,True,True,False,False,True,"484,032","533,996","2,842.03","May 9, 2025",434.68,"Dec 9, 2024","3,093.54"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0642580488,P901159A35FF2,False,True,True,True,True,True,False,False,True,"484,128","534,093","14,615.52","Apr 12, 2025",160,"Nov 13, 2024","15,945.56"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0644939784,P7F7ED880FF76,False,True,True,True,True,True,False,False,True,"484,163","534,129","20,064.09","Apr 19, 2025",280,"Oct 21, 2024","22,667.27"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0649789448,P18FE6414F4DA,False,True,True,True,True,True,False,False,True,"484,237","534,203","12,748.2","Apr 19, 2025",208,"Dec 20, 2024","13,659.16"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0653066248,P9BCB7750DD33,False,True,True,True,True,True,False,False,True,"484,285","534,253","14,551.06","May 26, 2025",655.83,"Dec 26, 2024","15,735.16"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0655228936,P2654C1857B6F,False,True,True,True,True,True,False,False,True,"484,318","534,286","15,147.15","Apr 18, 2025",655.25,"Nov 19, 2024","15,840.05"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0664338440,PF2F4E08457B9,False,True,True,True,True,True,False,False,True,"484,454","534,425","10,704.89","May 9, 2025",463.15,"Dec 5, 2024","11,394.89"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0664797192,PE95BF35262A4,False,True,True,True,True,True,False,False,True,"484,462","534,432","9,269.47","Jun 10, 2025",254.62,"Mar 14, 2025","9,299.82"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0664993800,PA8DCD951AE82,False,True,True,True,True,True,False,False,True,"484,465","534,435","12,459.1","Apr 21, 2025",607.44,"Nov 22, 2024","13,484.99"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0665321480,P8B150F0507F5,False,True,True,True,True,True,False,False,True,"484,470","534,440",178.74,"Apr 20, 2025",181.43,"Nov 21, 2024",193.29
