APP_ID,GUID,APP_DT,DOC_UPLOAD_TS,UW_STARTED_TS,UW_AGENT_ASSIGNED_TS,UW_COMPLETE_TS,ESIGN_TS,ORIGINATED_DT,DECLINED_TS,SELECTED_OFFER_AMT,FUNNEL_TYPE,API_PARTNER_DECISION,CAPITAL_PARTNER,APP_CHANNEL_PARENT,AUTOMATION_INCOME_CHECK_STATUS,AUTOMATION_BANK_ACCOUNT_CHECK_STATUS,AUTOMATION_IDENTITY_CHECK_STATUS,DYNAMIC_VERIF_PASS_YN,APP_STATUS,MANUAL_FRAUD_REVIEW_YN,APPLICATION_ID,OCROLUS_APP_REVIEW,PENDING_APPLICANT_RESPONSE_QUEUE,PROCESSING_QUEUE,INCOME_REVIEW,APP_DOCUMENT_REVIEW,FRAUD_AUTO_ESCALATION,FRAUD_TEAM_REVIEW,REDECISION_COMPLETE,AAN_GENERATED,INCOME_BYPASS,ALL_PORTFOLIOS
3016798,1aa2bf9c-8bf8-46a4-a6fd-b3aaf284904b,2025-08-07,2025-08-07 17:03:40.000000000,2025-08-07 17:10:37.000000000,2025-08-08 07:09:27.000000000,2025-08-08 07:18:31.000000000,,,,10000.00,API,Conditional Approval,,Affiliates,Ocrolus Paystub,,Pass,N,Allocated,N,3016798,1,0,0,0,0,0,0,0,0,0,"API Affiliate, Ocrolus"
3016038,bc7603b1-20c4-4dd4-9bfc-d595ef2105d0,2025-08-07,2025-08-07 14:55:42.000000000,2025-08-07 15:03:34.000000000,2025-08-07 15:29:42.000000000,,,,,13000.00,Non-API,,,Direct Mail,Bypass,,Pass,N,Underwriting,N,3016038,1,0,1,0,0,0,0,0,0,1,"Citizenship, Income Bypass, Ocrolus, Processing"
3017275,ab4ec01a-deaf-4f0a-8291-b0cdcd652d1d,2025-08-07,2025-08-07 18:24:27.000000000,2025-08-07 18:33:31.000000000,2025-08-08 07:18:41.000000000,,2025-08-08 09:22:49.000000000,2025-08-13,,34500.00,Non-API,,FTCU,CK Lightbox,Ocrolus Paystub,Pass,Fail,N,Pre-Funding,N,3017275,1,0,0,0,1,0,0,1,0,0,"Complete, Document Review, Ocrolus"
2927052,35a2d637-af60-4382-8388-bd430030b3cb,2025-07-24,2025-07-27 12:11:23.000000000,2025-08-07 17:56:57.000000000,2025-08-08 06:31:09.000000000,2025-08-08 06:36:21.000000000,,,,35000.00,Non-API,,,Email,Ocrolus Paystub,,Pass,N,Allocated,N,2927052,0,0,0,0,0,0,0,0,0,0,GIACT
3012842,e6073357-bdce-4b19-9c31-865edf38b793,2025-08-07,2025-08-07 07:37:13.000000000,2025-08-07 07:47:59.000000000,2025-08-07 10:07:35.000000000,,,,,30000.00,Non-API,,,Unattributed,Ocrolus Paystub,,Pass,N,Underwriting,N,3012842,1,1,0,1,0,0,0,0,0,0,"Ocrolus, Pending Applicant Response, Review"
2963364,e6f02bdc-53c4-4116-b4bb-30c45d2084fd,2025-07-30,2025-07-30 14:53:15.000000000,2025-08-07 16:00:06.000000000,2025-08-08 06:43:22.000000000,2025-08-08 09:48:54.000000000,,,,7000.00,API,Conditional Approval,,Affiliates,Bypass,,Fail,N,Allocated,N,2963364,1,0,0,0,1,0,0,0,0,1,"API Affiliate, Document Review, Income Bypass, Ocrolus"
3012766,fbda2dcb-6f97-4e40-8602-b4b3adbf229c,2025-08-07,2025-08-07 07:26:48.000000000,2025-08-07 07:30:37.000000000,2025-08-07 09:14:37.000000000,,,,,35000.00,Non-API,,,CK Lightbox,Ocrolus Paystub,,Pass,N,Underwriting,N,3012766,1,1,0,0,1,1,0,0,0,0,"Auto Escalation, Document Review, Ocrolus, Pending Applicant Response"
3012386,b5312ebc-fc7a-4a67-864e-1d6927bcef17,2025-08-07,2025-08-07 06:17:45.000000000,2025-08-07 06:24:52.000000000,2025-08-07 08:22:20.000000000,,,,,30000.00,Non-API,,,CK Lightbox,Fail,,Pass,N,Underwriting,N,3012386,1,1,0,0,1,0,0,0,1,0,"Document Review, Generated, Ocrolus, Pending Applicant Response"
3015898,469b1e5b-8b79-42f6-ad8b-b6cf47ca00c8,2025-08-07,2025-08-07 14:31:31.000000000,2025-08-07 14:32:03.000000000,2025-08-07 14:58:47.000000000,,,,,10000.00,Non-API,,,Unattributed,Ocrolus Paystub,,Pass,N,Underwriting,N,3015898,1,1,0,0,1,0,0,0,0,0,"Document Review, Ocrolus, Pending Applicant Response"
3015476,00807343-2430-45a0-a6a9-82ab977b7272,2025-08-07,2025-08-07 13:35:33.000000000,2025-08-07 14:36:26.000000000,2025-08-07 14:42:57.000000000,2025-08-07 14:49:03.000000000,,,,20400.00,Non-API,,,Search,Ocrolus Paystub,,Pass,N,Allocated,N,3015476,1,0,0,0,1,0,0,0,0,0,"Document Review, GIACT, Ocrolus"
