LOAN_ID,CHARGE_OFF_DATE,CHARGE_OFF_PRINCIPAL,SETTLEMENT_AMOUNT,SETTLEMENT_STATUS,SETTLEMENT_COMPLETION_DATE,LAST_PAYMENT_DATE,TOTAL_RECOVERY_AMOUNT,PLACEMENT_STATUS,PLACEMENT_STATUS_START_DATE,POPULATION_SOURCE
P006624C30FF2,2025-09-29,13040.9700,,,,2025-10-01,890.4800,Placed - HM,2022-11-29,Charge Off
P01A4A4B3BAA1,2023-10-16,9444.6200,,,,2025-10-01,183.6400,Placed - HM,2022-05-18,Charge Off
P04067F8E7553,2024-03-14,5292.3900,,,,2025-10-01,205.0000,Placed - HM,2022-04-06,Charge Off
P04C923F79A56,2025-09-22,31311.2600,,,,2025-10-01,50.0900,Placed - HM,2024-03-25,Charge Off
P095FE61726AF,2025-03-02,3464.4300,,,,2025-10-01,202.0900,Placed - Bounce,2025-06-18,Charge Off
P171D6A773CBC,2022-10-23,11089.2400,,,,2025-10-01,388.0000,Placed - HM,2024-06-24,Charge Off
P1A0C254BE5A7,2025-03-19,8087.7700,,,,2025-10-01,471.7900,Placed - HM,2022-05-13,Charge Off
P1F388B4214A3,2024-03-28,6394.3800,,,,2025-10-01,369.0000,Placed - Bounce,2024-11-19,Charge Off
P22658AC9D5E3,2025-05-15,23876.2700,,,,2025-10-01,1193.8000,Placed - HM,2023-11-14,Charge Off
P27C9DE43E3AD,2025-06-01,22193.4100,,,,2025-10-01,217.0000,Placed - Bounce,2025-08-11,Charge Off
P280C90745118,2025-07-30,21523.4600,,,,2025-10-01,1059.7600,Placed - HM,2022-04-01,Charge Off
P28318A587AC4,2025-03-23,8062.2800,,,,2025-10-01,470.0000,Placed - HM,2022-11-21,Charge Off
P2D0D3C8B499E,2025-02-04,4150.6500,,,,2025-10-01,308.0000,Placed - HM,2022-07-07,Charge Off
P2F2EC07AAE3E,2023-02-21,19076.6200,,,,2025-10-01,363.9000,Placed - HM,2024-06-24,Charge Off
P3136D401ECA1,2025-01-01,16002.4600,,,,2025-10-01,466.0000,Placed - HM,2023-05-03,Charge Off
P31B2485866B8,2025-08-20,19317.3500,,,,2025-10-01,563.4200,Placed - HM,2023-11-08,Charge Off
P33EFC151B3E1,2025-08-29,7670.3200,,,,2025-10-01,505.3400,Placed - HM,2022-08-31,Charge Off
P3574533E7C58,2023-03-11,8169.0000,,,,2025-10-01,2148.3000,Placed - HM,2022-05-11,Charge Off
P371C81CB3088,2025-09-29,8823.3800,,,,2025-10-01,594.6000,Placed - HM,2022-08-18,Charge Off
P37F47F103A77,2025-01-01,14880.9200,,,,2025-10-01,434.0000,Placed - HM,2022-10-03,Charge Off
P3943A908691D,2025-07-14,2269.3400,,,,2025-10-01,264.0000,Placed - ACU,2023-09-28,Charge Off
P3BB2FC34AC4F,2022-07-16,9846.5500,,,,2025-10-01,689.2600,Placed - HM,2019-01-24,Charge Off
P3F962A4850EB,2023-10-29,7841.0600,,,,2025-10-01,337.0000,Placed - HM,2021-07-01,Charge Off
P3FA485AAFFE7,2025-06-27,16437.0800,,,,2025-10-01,200.0000,Placed - HM,2023-07-18,Charge Off
P404E271256ED,2024-07-14,3125.7300,,,,2025-10-01,50.0000,Placed - HM,2021-10-08,Charge Off
P40CCB05ABB63,2024-12-13,3402.3000,,,,2025-10-01,50.0000,Placed - HM,2021-12-15,Charge Off
P474538631DF2,2024-09-28,7100.4200,,,,2025-10-01,457.0300,Placed - HM,2022-12-01,Charge Off
P47919DD65A42,2025-07-30,15974.5300,,,,2025-10-01,228.0000,Placed - HM,2022-09-27,Charge Off
P4929929BFD18,2025-09-29,7732.8100,,,,2025-10-01,79.0000,Placed - HM,2022-09-30,Charge Off
P4A323B666838,2025-02-12,3526.3600,,,,2025-10-01,205.7000,Placed - HM,2022-03-02,Charge Off
P4B0800C039CE,2024-08-31,5690.5100,,,,2025-10-01,331.9500,Placed - HM,2024-08-31,Charge Off
P4FAF9A18F6B3,2025-03-05,16162.0200,,,,2025-10-01,1137.7500,Placed - Bounce,2025-06-18,Charge Off
P50345B29F007,2025-08-25,6680.6100,,,,2025-10-01,140.0000,Placed - HM,2023-01-19,Charge Off
P536F7D6DA2EB,2024-09-11,16669.9800,,,,2025-10-01,716.8100,Placed - HM,2022-09-14,Charge Off
P55A66C98D4C4,2025-03-19,13924.7700,,,,2025-10-01,406.0000,Placed - HM,2023-04-19,Charge Off
P5903A86AA963,2022-01-23,17825.8800,,,,2025-10-01,150.0000,Placed - HM,2023-12-25,Charge Off
P5DE0EFE2D638,2024-12-23,7769.0200,,,,2025-10-01,226.0000,Placed - HM,2020-08-25,Charge Off
P5F51121F4CA8,2025-05-07,7086.2300,,,,2025-10-01,413.3600,Placed - HM,2022-06-07,Charge Off
P60577F04AC37,2024-11-09,13410.1800,,,,2025-10-01,50.0000,Placed - HM,2023-01-12,Charge Off
P60DD83035E7E,2025-03-05,2250.8400,,,,2025-10-01,187.1200,Placed - Bounce,2025-06-18,Charge Off
P60FB0D3AB213,2025-07-30,5991.4300,,,,2025-10-01,577.9100,Placed - HM,2023-01-31,Charge Off
P629B8318CA33,2019-10-16,10750.8100,,,,2025-10-01,1254.2600,Placed - HM,2024-07-11,Charge Off
P64F2E8872121,2024-07-26,7496.6900,,,,2025-10-01,100.0000,Placed - HM,2022-09-15,Charge Off
P650199F8C21B,2024-06-26,25202.9700,,,,2025-10-01,735.0000,Placed - HM,2023-09-05,Charge Off
P6577D0F514B3,2024-09-08,3925.5200,,,,2025-10-01,229.0800,Placed - HM,2021-08-11,Charge Off
P6857D4E84F2E,2023-07-30,23353.4600,,,,2025-10-01,681.2000,Placed - HM,2022-03-01,Charge Off
P6BD6004913B7,2024-01-30,8098.0200,,,,2025-10-01,236.1900,Placed - HM,2022-12-29,Charge Off
P701268258AD8,2023-09-25,30861.3900,,,,2025-10-01,495.0800,Placed - HM,2022-04-28,Charge Off
P7032E3122296,2025-09-29,25661.9600,,,,2025-10-01,955.5900,Placed - HM,2022-11-01,Charge Off
P7251ED227C82,2024-10-16,3834.5900,,,,2025-10-01,220.6900,Placed - HM,2022-05-18,Charge Off
P74427E51CA90,2025-08-29,11692.5900,,,,2025-10-01,521.8500,Placed - HM,2022-09-01,Charge Off
P77A39CC5E705,2024-12-30,4334.4100,,,,2025-10-01,157.0500,Placed - HM,2022-01-31,Charge Off
P7B9D1261CBAE,2025-02-16,4676.1900,,,,2025-10-01,136.0000,Placed - HM,2023-04-06,Charge Off
P7C3979D50483,2024-11-12,36293.1700,,,,2025-10-01,800.0000,Placed - HM,2023-08-30,Charge Off
P7E7F0C7B0BD7,2025-06-29,14990.5800,,,,2025-10-01,696.7300,Placed - Bounce,2025-08-08,Charge Off
P81A9DD39FBD4,2025-06-29,3341.9000,,,,2025-10-01,555.6200,Placed - Bounce,2025-08-08,Charge Off
P8279E93C9022,2023-11-02,16663.9800,,,,2025-10-01,379.0000,Placed - Bounce,2024-11-25,Charge Off
P8660CCF36F39,2025-09-12,12685.7200,,,,2025-10-01,364.1700,Placed - HM,2022-12-01,Charge Off
P8773FBBC157C,2021-06-17,13317.6800,,,,2025-10-01,517.9100,Placed - HM,2019-04-17,Charge Off
P8B6D5A30E81F,2025-06-29,3115.7600,,,,2025-10-01,502.3000,Placed - Bounce,2025-08-08,Charge Off
P8D13945CA3C4,2024-03-22,12834.0600,,,,2025-10-01,231.7200,Placed - HM,2022-11-23,Charge Off
P8D1E25EA601D,2025-08-29,10054.3800,,,,2025-10-01,467.8700,Placed - HM,2022-08-01,Charge Off
P8D2F96BEF05C,2025-01-04,20214.8200,,,,2025-10-01,589.6000,Placed - HM,2023-04-06,Charge Off
P90BD5A8BAB54,2024-06-20,7834.3000,,,,2025-10-01,228.5000,Placed - Resurgent,2025-07-31,Charge Off
P96D143083CAA,2025-02-13,12318.9100,,,,2025-10-01,359.0000,Placed - HM,2022-08-03,Charge Off
P96E144FBB065,2022-03-04,22654.8700,,,,2025-10-01,660.7600,Placed - HM,2024-01-19,Charge Off
P9D31B1C32D81,2022-07-24,18100.5200,,,,2025-10-01,122.2200,Placed - HM,2023-12-15,Charge Off
P9EEAE0986897,2023-09-12,17321.5400,,,,2025-10-01,481.1500,Placed - HM,2022-04-11,Charge Off
P9F2FDDA2E48F,2023-06-06,13873.9700,,,,2025-10-01,415.0000,Placed - Bounce,2024-11-19,Charge Off
PA228B888F763,2024-11-25,18611.8800,,,,2025-10-01,542.8500,Placed - HM,2023-01-17,Charge Off
PA7303EC745B7,2024-03-08,14567.6200,,,,2025-10-01,150.0000,Placed - Resurgent,2025-02-28,Charge Off
PA8D6622DA1F9,2025-06-01,2857.4000,,,,2025-10-01,211.0000,Placed - Bounce,2025-08-08,Charge Off
PA9393C82F269,2025-05-02,18717.6100,,,,2025-10-01,1051.9000,Placed - Bounce,2025-08-08,Charge Off
PA9CB1C33C6C9,2023-09-08,18568.1300,,,,2025-10-01,541.5700,Placed - HM,2022-05-11,Charge Off
PAA014E461E4F,2023-04-01,21629.0500,,,,2025-10-01,247.8300,Placed - HM,2024-06-24,Charge Off
PACD6D1C06400,2025-09-29,10844.3600,,,,2025-10-01,409.0000,Placed - ACU,2023-10-05,Charge Off
PB543A84A9EFD,2025-03-05,3399.9200,,,,2025-10-01,490.1600,Placed - Bounce,2025-06-18,Charge Off
PB80275724C9C,2025-05-03,955.5900,,,,2025-10-01,328.5700,Placed - Bounce,2025-08-11,Charge Off
PB8941C970109,2020-07-31,8432.4900,,,,2025-10-01,245.9400,Placed - HM,2018-09-29,Charge Off
PB8C9C778C6A7,2024-06-20,24148.7800,,,,2025-10-01,500.0000,Placed - Bounce,2024-11-25,Charge Off
PBF4456775206,2023-01-29,7820.7300,,,,2025-10-01,250.0000,Placed - HM,2021-01-29,Charge Off
PBFCE148ADAA1,2025-07-16,28821.1700,,,,2025-10-01,780.5700,Placed - HM,2022-05-18,Charge Off
PC17497CD3312,2025-08-29,3247.4800,,,,2025-10-01,670.0300,Placed - HM,2022-08-31,Charge Off
PC2BE97B8F7E8,2024-10-13,34227.5600,,,,2025-10-01,855.8400,Placed - HM,2022-03-30,Charge Off
PC384580B93E3,2025-07-08,7509.9100,,,,2025-10-01,210.3400,Placed - HM,2023-07-10,Charge Off
PC8B7CF6C1112,2025-07-16,4502.2300,,,,2025-10-01,131.3200,Placed - HM,2023-05-02,Charge Off
PC8DB68FD6A93,2024-10-18,13762.0700,,,,2025-10-01,100.0000,Placed - HM,2021-09-30,Charge Off
PD06F3957F06F,2025-07-30,14126.9100,,,,2025-10-01,565.0700,Placed - HM,2023-06-01,Charge Off
PD1D78CF6F8F0,2024-10-26,5694.5100,,,,2025-10-01,166.0900,Placed - HM,2021-10-06,Charge Off
PD874580AA38F,2022-11-29,13331.3900,,,,2025-10-01,277.7400,Placed - HM,2024-01-20,Charge Off
PD87A33E32178,2023-12-28,3175.5100,,,,2025-10-01,19.6100,Placed - HM,2018-12-28,Charge Off
PDEF88677F708,2019-10-31,33358.1100,,,,2025-10-01,972.0000,Placed - HM,2018-12-27,Charge Off
PE79B561E461C,2025-09-29,4256.0000,,,,2025-10-01,986.9000,Placed - HM,2021-05-19,Charge Off
