Payoff Loan ID,Lead GUID
P7357edf99351,69df5620-7983-bd62-0a6b-7357edf99351
P989e264733c7,daeb0576-626d-2b87-f292-989e264733c7
Pb82a95a56218,05138ea7-b253-791b-f50c-b82a95a56218
P353fab787201,eef20e99-c6ce-3053-4f23-353fab787201
P2ef6968beb46,d37c0f1e-b9ed-5e19-8c9a-2ef6968beb46
P9d7b06982305,f341f6c5-05ca-9f12-434a-9d7b06982305
P4a145a3a5d24,7965b05c-5f91-1528-f2ed-4a145a3a5d24
P90f83ede29d1,46707f4a-d423-75f5-646a-90f83ede29d1
P708384c3e1c1,db83ae54-7bb5-e090-8883-708384c3e1c1
P7b9b0fbbb29e,075cac5e-789b-3aee-4104-7b9b0fbbb29e
Pf3a9ac0c6d69,4dc43c76-5f0b-6747-6dbd-f3a9ac0c6d69
P0ee925259c2a,88c7d02a-efa8-63f5-4420-0ee925259c2a
P230aaa959c50,bcf05273-642d-281d-16b3-230aaa959c50
P434ae8734fca,ee54521c-26da-5b03-c8fb-434ae8734fca
Pc155d0a824c7,6174f4c4-da73-f4c1-530f-c155d0a824c7
Pd10950cb13ac,5d787088-487f-3f18-7844-d10950cb13ac
P16cdff8bb927,bf16ddec-e160-a450-425e-16cdff8bb927
Pb34d6f2952f3,09552bd4-5d39-d116-5242-b34d6f2952f3
P179f24486729,a6decbd8-330a-7c15-de40-179f24486729
Pbfe68cffcf6a,5c1d7206-1130-66ce-bf06-bfe68cffcf6a
Paf54619f7eaf,be309d96-bbd4-5a7f-a436-af54619f7eaf
P726316874dea,60999c84-d615-797f-a3ac-726316874dea
P0d740be65308,358caf3a-3497-469c-bb6f-0d740be65308
P422fc99c156c,6117d707-7e5e-49c5-4652-422fc99c156c
Pd650d501c487,6b227ee7-024a-0f7f-85c0-d650d501c487
Pfa79d599ed1b,79dbcd55-28fc-03b2-c639-fa79d599ed1b
P74cbcaa0ec82,b84f60d1-7bb5-9793-562e-74cbcaa0ec82
Pf730bfed1809,b19c5fd0-ec70-3d42-db91-f730bfed1809
Pa68f920a7bdb,3e844fa1-9cc1-1a83-ed52-a68f920a7bdb
P8ff5c0c7806f,9d54a250-668a-1b1e-1d3b-8ff5c0c7806f
P78b63663703c,f387423c-3fe1-4b45-496e-78b63663703c
Pee95e1669839,138b719c-343d-e258-8ffe-ee95e1669839
Pa5184abc8472,f9019fa9-e02d-bcf0-5172-a5184abc8472
Pd036832ecff7,7556f11c-2655-d374-97d2-d036832ecff7
P67f3fbb4b874,dadc30a4-2ff6-0cdc-d587-67f3fbb4b874
P4d933e97596e,a4b45e1d-9463-2398-dfd7-4d933e97596e
P95ad13a7df59,b7a12a5c-1934-b2c8-861d-95ad13a7df59
P65712c5cf373,510b41df-978f-ea94-c406-65712c5cf373
P159f1666ba29,99dd5d12-941e-ec4b-665f-159f1666ba29
Pfe5dabb1cd0a,711b9704-fd42-d163-f6f5-fe5dabb1cd0a
Pc0a9c5efa9bc,8dbb1bcb-1b2f-dd45-8b8f-c0a9c5efa9bc
P7e4bcf04e589,aca2befe-aece-9e83-2a82-7e4bcf04e589
P1f199e269ec4,71ed3399-017c-6e5a-82bd-1f199e269ec4
P916a5238cf24,3c8ad150-5c5e-974d-d27b-916a5238cf24
Pae07163bdbe0,35f49a9b-c6a5-a116-3144-ae07163bdbe0
P3c8a9a8e0291,c9523fcc-7a6b-c7f7-1578-3c8a9a8e0291
P79ac6650301f,5e779725-9e23-dcbf-52e4-79ac6650301f
P8509b2712994,4df78ab1-253a-bf1c-75cb-8509b2712994
Pd5bd6b47ec60,0c5cbf9f-dad2-b1bb-6199-d5bd6b47ec60
P798783b0a7be,454aa2b2-37b1-08f4-e028-798783b0a7be
P74c9d5452ac1,63f19ab7-c22a-97b5-b470-74c9d5452ac1
Pb2e10a1cd197,260c7534-c603-91d1-eb99-b2e10a1cd197
Pf34cc87f8a26,6322840a-92ba-313d-1ecd-f34cc87f8a26
P964eb2907b1a,6607cb85-e520-4956-2a3b-964eb2907b1a
P05078e89f1e1,a8fd7c56-f3cd-7b37-7f8f-05078e89f1e1
P47dad7316869,48b765f8-f6cf-875f-3937-47dad7316869
P6886c0fc32ab,2ee24181-6fa1-0be8-38a1-6886c0fc32ab
P8e9229fbc058,2954a9b5-7384-cb00-d91c-8e9229fbc058
Pdfc679f9dfeb,b358c5b2-f4eb-4a6d-56e9-dfc679f9dfeb
P88698daad843,c04fe94b-326c-a118-e62a-88698daad843
P05f8f2707e88,57eccac4-bb39-b778-97bb-05f8f2707e88
P1089d3df825d,3b236173-574a-448c-466a-1089d3df825d
Pf6cab2253f7a,33135faf-4abd-b0e0-d5cb-f6cab2253f7a
Pe855a8a82b5d,2028e8cd-4e5a-84e8-e0f4-e855a8a82b5d
Peed556244ae8,35c283ca-6177-20a3-2e25-eed556244ae8
P5251b7be2e67,629adf72-9150-832c-a400-5251b7be2e67
Pb69f0879678c,b7c6f6cc-e8ee-3da0-ee77-b69f0879678c
P585fe9380282,625a88c9-5f9b-fd85-8e56-585fe9380282
Pa994ba554830,eeadf579-2a07-a2d3-ca80-a994ba554830
P7fc6a1ea6c6c,44063e18-c59e-dc2c-ef37-7fc6a1ea6c6c
P1c9bd2d5c6a8,4e3cb9af-e696-894c-ef62-1c9bd2d5c6a8
Pf92a1278fbd7,8f7f42ec-c1a0-0edb-307d-f92a1278fbd7
P37573002e20e,70236309-5301-2331-fcac-37573002e20e
P8e4d7dff81aa,5b4dd81e-dedf-7370-ca97-8e4d7dff81aa
P19f1bd8d9c38,a6309f04-410a-358c-491a-19f1bd8d9c38
P60006668fc1a,8e25adb2-b128-8fc1-1703-60006668fc1a
Pa4f10c06114d,95c9db0b-dd90-7025-21c2-a4f10c06114d
Pf6e3026a4b8a,aa9c4ce3-432a-9ffa-a016-f6e3026a4b8a
Pa604f17463a7,5dcae076-d2a8-9ad6-d228-a604f17463a7
P5214be35643a,e42ad029-2ed8-4963-24b7-5214be35643a
P39269b7191aa,60e770ff-471d-38b1-019d-39269b7191aa
Pfde2ef4706d5,ceadbcb9-0572-3b41-9946-fde2ef4706d5
P7a0e47b27858,3c0a85fa-5120-eb43-a65a-7a0e47b27858
Pd03231cd0044,967df5c2-b061-4a60-1332-d03231cd0044
P7b335605b644,52563efa-d13e-fc23-7e74-7b335605b644
P7ca1f02dcc6a,65cd3210-b6c5-2dd7-c75b-7ca1f02dcc6a
Pa4720f6aeb94,5d3ddcf6-851c-0359-b31a-a4720f6aeb94
P7bd0e26ea342,5218f06e-a7c3-7ce2-0856-7bd0e26ea342
P89f42edf99be,86788275-bb19-1630-5dba-89f42edf99be
Pd910e70d7901,fd231d71-c7af-90d1-8344-d910e70d7901
P40c7b8cc9a0a,f7cc2fae-a62a-73d2-eb4e-40c7b8cc9a0a
Pd1d664e45e3f,75d0217f-7ec0-58db-281f-d1d664e45e3f
Pd33ffb8fb01a,63052537-5260-31fe-2dc7-d33ffb8fb01a
P756a00afbef4,8ae3595d-55e6-dc60-51a4-756a00afbef4
Pa732dac65ed2,fda7b104-56f5-ca48-8232-a732dac65ed2
P7c472a4c4329,0ab773c0-ece9-94f3-c467-7c472a4c4329
P92e443a1c5f1,f8bd4dae-4d88-9372-8878-92e443a1c5f1
P7e48b5171143,33f20ddf-cc86-3ea4-fe1c-7e48b5171143
Pcc1cc9223461,947e2eae-3d2b-e4f4-8d6b-cc1cc9223461
P62c3e5d4e18b,df6a24c2-a263-636a-f590-62c3e5d4e18b
Pd9af73d45ad0,90b0bc04-39ce-4544-7a4c-d9af73d45ad0
P6bd4fb9bc12f,c5cd25ff-425b-1305-ffa1-6bd4fb9bc12f
Pb9e7be14d1ea,c0f507e0-074b-9195-6715-b9e7be14d1ea
Pd30c999b2f65,2ff06584-b767-41df-ab15-d30c999b2f65
P434baf86a8fd,48f14a3a-bf42-0437-f4b4-434baf86a8fd
Pedb6b4ae4b0a,aab6d92e-a948-8345-a12a-edb6b4ae4b0a
Pfe23679437e5,cdcc6d45-3432-6799-43eb-fe23679437e5
P6d5918ce588b,c29c9021-f580-4f16-f1cf-6d5918ce588b
P1cb22aeb2b65,23543760-5917-3dac-ce87-1cb22aeb2b65
P766f4c04e45c,fa9a53c7-d768-3412-8d7e-766f4c04e45c
P1eb4224ccf1e,c022427f-65ab-224a-db4b-1eb4224ccf1e
P46cc17668252,ec523427-bf60-c370-97cf-46cc17668252
Pe894aa12d1d5,38272c39-7a3c-5868-95f9-e894aa12d1d5
P5ea8558f2c08,6c6df327-a6d5-7e99-4e40-5ea8558f2c08
Pa29a409f2166,9a3616f1-edb8-073d-2230-a29a409f2166
P16388a949fe8,c01666ce-783e-7287-f2dc-16388a949fe8
P38339dad2dd6,10b8c415-7df5-fe3c-1f02-38339dad2dd6
Pfffffbc3ffce,d80b6d31-581c-637e-83a6-fffffbc3ffce
P83abc836f411,14702094-1e0b-471b-2de1-83abc836f411
Pc7aae47d3f51,05293b15-5af0-b048-8f1a-c7aae47d3f51
P1d7817356c87,5b59886a-dc04-30e2-eb3b-1d7817356c87
P792a0110b5ed,5736d164-19c4-9f73-8dd3-792a0110b5ed
P7879f8f4c813,06932ce8-29cc-3209-195c-7879f8f4c813
P9ed9560abd16,ff4aad78-1ed2-b4ef-a4e8-9ed9560abd16
Pe2edab6c72e9,29a30463-002b-32f1-e7e1-e2edab6c72e9
P7c2d711142ac,754017ce-e115-83f5-691e-7c2d711142ac
P806ae58874a4,9682dc9e-11f4-f729-e3ee-806ae58874a4
P7bb947c5b6f8,9581bd5b-7506-8e16-f617-7bb947c5b6f8
Pc67a54683571,df3f8cdd-605d-d749-3eff-c67a54683571
P4f328fa0d222,c4dc7ccc-2eec-415a-8780-4f328fa0d222
P992814023790,352d21b5-5c48-f5a7-ebd0-992814023790
P4b1d959fe881,714dee77-a65b-ba32-dd03-4b1d959fe881
P2e2a497ee830,0fcd759e-9944-2deb-c16f-2e2a497ee830
Pa631c76bbc6a,a3b4f1d1-63c4-c44d-8378-a631c76bbc6a
P36fb2f733eef,9a7f2346-e61a-6285-8376-36fb2f733eef
P44086cb4e070,93a755ec-74b6-bcb6-be4a-44086cb4e070
P004d562575e3,2a40eec1-2247-b4eb-82ed-004d562575e3
P6288b1fe8274,9d408b84-89f9-7267-f403-6288b1fe8274
P8cd4839e8834,fd1c5dd5-c06b-4450-ded2-8cd4839e8834
P0d0a0f80e99c,a35df638-3144-bf76-7794-0d0a0f80e99c
P22663765804a,b1710e79-1551-67d8-c75f-22663765804a
P5059a46ef74a,22ac9963-cd56-cf80-5fcc-5059a46ef74a
P1ded33250299,70fc088a-23ca-d149-967c-1ded33250299
