field_name,total_records,non_null_count,population_percentage,population_category,business_priority
BANKRUPTCY_BALANCE,372456,0,0.0,NEAR_NULL,High
ATTORNEY_ORGANIZATION,372456,0,0.0,NEAR_NULL,High
DCA_START_DATE,372456,0,0.0,NEAR_NULL,High
ATTORNEY_PHONE_2,372456,0,0.0,NEAR_NULL,Medium
ATTORNEY_PHONE_3,372456,0,0.0,NEAR_NULL,Medium
REPURPOSE_2,372456,0,0.0,NEAR_NULL,Low
REPURPOSE_3,372456,0,0.0,NEAR_NULL,Low
REPURPOSE_4,372456,0,0.0,NEAR_NULL,Low
ACTIVE_DUTY_START_DATE,372456,0,0.0,NEAR_NULL,Medium
ACTIVE_DUTY_END_DATE,372456,0,0.0,NEAR_NULL,Medium
FEMA_ACTIVE_START_DATE,372456,0,0.0,NEAR_NULL,Medium
FEMA_ACTIVE_END_DATE,372456,0,0.0,NEAR_NULL,Medium
SALE_FLAG,372456,0,0.0,NEAR_NULL,Low
COMMUNICATION_STATUS,372456,0,0.0,NEAR_NULL,Medium
FRAUD_JIRA_TICKET_10,372456,4,0.0011,NEAR_NULL,High
CHOSEN_NAME,372456,25,0.0067,NEAR_NULL,Medium
FRAUD_JIRA_TICKET_5,372456,52,0.014,NEAR_NULL,High
FRAUD_JIRA_TICKET_2,372456,319,0.0856,LOW_POPULATION,High
FRAUD_STATUS_RESULTS_2,372456,319,0.0856,LOW_POPULATION,High
FRAUD_STATUS_RESULTS_1,372456,774,0.2078,LOW_POPULATION,High
FRAUD_JIRA_TICKET_1,372456,775,0.2081,LOW_POPULATION,High
TEN_DAY_PAYOFF,372456,1588,0.4264,LOW_POPULATION,Medium
BANKRUPTCY_CHAPTER,372456,6416,1.7226,LOW_POPULATION,High
LOAN_MOD_EFFECTIVE_DATE,372456,11695,3.14,MODERATE_POPULATION,Medium
HAPPY_SCORE,372456,12186,3.2718,MODERATE_POPULATION,Medium
LATEST_BUREAU_SCORE,372456,86604,23.2521,WELL_POPULATED,High
US_CITIZENSHIP,372456,119081,31.9718,WELL_POPULATED,Medium
