PAYOFFUID,PAYOFFLOANID,SUBJECT,BODY,CREATED
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/08/2025,"Dialed # -7866; MRD, 3P adv pri no longer works there",2025-08-08 17:07:26.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/08/2025,"Dialed # -7866; MRD, 3P adv pri no longer works there",2025-08-08 17:07:26.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/07/2025,Dialed # -7866; No machine msg left,2025-08-07 16:08:39.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/07/2025,Dialed # -7866; No machine msg left,2025-08-07 16:08:39.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/06/2025,Dialed # -7866; No answer,2025-08-06 15:12:22.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/06/2025,Dialed # -7866; No answer,2025-08-06 15:12:22.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/05/2025,Dialed # -7866; No answer,2025-08-05 23:55:01.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/05/2025,Dialed # -7866; No answer,2025-08-05 23:55:01.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/05/2025,No answer 6785627866,2025-08-05 12:36:26.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/05/2025,No answer 6785627866,2025-08-05 12:36:26.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/04/2025," Dialed # -8861; 3P adv wrong #, h/u. Updated # on file to work # listed for business. ",2025-08-04 16:04:07.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 08/04/2025," Dialed # -8861; 3P adv wrong #, h/u. Updated # on file to work # listed for business. ",2025-08-04 16:04:07.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 07/30/2025,R02 on file. Only one payment made,2025-07-30 21:03:52.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 07/30/2025,R02 on file. Only one payment made,2025-07-30 21:03:52.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 07/30/2025,https://apps.usw2.pure.cloud/directory/#/engage/admin/interactions/187d6b16-124f-4d7c-85b9-3e4d1a3a7ecf,2025-07-30 21:03:13.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 07/30/2025,https://apps.usw2.pure.cloud/directory/#/engage/admin/interactions/187d6b16-124f-4d7c-85b9-3e4d1a3a7ecf,2025-07-30 21:03:13.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 07/30/2025,Employer Name 1 Premier Nissan Mall of GA,2025-07-30 21:01:01.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,Smart Panel - 07/30/2025,Employer Name 1 Premier Nissan Mall of GA,2025-07-30 21:01:01.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,CRB Sale,"[ { ""Loan_investorStartDate"": ""05/27/2025"", ""Loan_investorEndDate"": ""2025-06-03"", ""Loan_remainingPrincipal"": ""13600.0"", ""Investor_name"": ""Cross River Bank Fortress"", ""LoanPro_isOriginatingPartner"": true, ""LoanPro_isPrimaryOwner"": false, ""LoanPro_isPastOwner"": true, ""LoanPro_isParticipationOwner"": false, ""LoanPro_portfolioId"": 201, ""LoanPro_subPortfolioIds"": [ 110, 112 ] }, { ""Loan_investorStartDate"": ""2025-06-04"", ""Loan_investorEndDate"": null, ""Loan_remainingPrincipal"": ""13600.0"", ""Loan_purchasePrice"": ""96.930"", ""Loan_purchaseAmount"": ""13182.48"", ""Investor_name"": ""Fortress"", ""LoanPro_isOriginatingPartner"": false, ""LoanPro_isPrimaryOwner"": true, ""LoanPro_isPastOwner"": false, ""LoanPro_isParticipationOwner"": false, ""LoanPro_portfolioId"": 202, ""LoanPro_subPortfolioIds"": [ 115 ] } ]",2025-06-04 09:09:22.000000000
06dc9ada-1f7d-4da0-9f45-871256d420cd,HM871256D420CD,CRB Sale,"[ { ""Loan_investorStartDate"": ""05/27/2025"", ""Loan_investorEndDate"": ""2025-06-03"", ""Loan_remainingPrincipal"": ""13600.0"", ""Investor_name"": ""Cross River Bank Fortress"", ""LoanPro_isOriginatingPartner"": true, ""LoanPro_isPrimaryOwner"": false, ""LoanPro_isPastOwner"": true, ""LoanPro_isParticipationOwner"": false, ""LoanPro_portfolioId"": 201, ""LoanPro_subPortfolioIds"": [ 110, 112 ] }, { ""Loan_investorStartDate"": ""2025-06-04"", ""Loan_investorEndDate"": null, ""Loan_remainingPrincipal"": ""13600.0"", ""Loan_purchasePrice"": ""96.930"", ""Loan_purchaseAmount"": ""13182.48"", ""Investor_name"": ""Fortress"", ""LoanPro_isOriginatingPartner"": false, ""LoanPro_isPrimaryOwner"": true, ""LoanPro_isPastOwner"": false, ""LoanPro_isParticipationOwner"": false, ""LoanPro_portfolioId"": 202, ""LoanPro_subPortfolioIds"": [ 115 ] } ]",2025-06-04 09:09:22.000000000
2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,Collections - NSF Outreach-9/16-OB Email, Email sent InteractionID: https://apps.usw2.pure.cloud/directory/#/engage/admin/interactions/519dec36-b819-4680-b76e-42fe6fbedf24 ,2025-09-16 20:10:47.000000000
2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,One Time Payment Scheduled via HMMA, * Amount: $795.28 * Scheduled Payment Date (Apply Date): 09/12/2025 * Process Date and Timestamp: 09/11/2025 02:00 PM ,2025-09-05 19:52:13.000000000
2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,"Collections, NSF NACHA, 08/28, OB Email"," This is to confirm that today, 08/28/2025 , you, Chaz Hopper , authorize Happy Money Inc. to electronically debit your Capital One account ending in 8803 in the amount of $795.28  on 08/29/2025.   This debit is for a one-time payment of your outstanding loan with the account number ending in 49c4 . https://apps.usw2.pure.cloud/directory/#/engage/admin/interactions/5b86a2f4-ff16-473e-a582-f84ad787f575   ",2025-08-28 21:27:12.000000000
2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,"Collections, NSF NACHA, 08/20, OB Email"," This is to confirm that today, 08/20/2025, you, Chaz Hopper, authorize Happy Money Inc. to electronically debit your Capital One account ending in 8803 in the amount of $795.28 on 08/22/2025.  This debit is for a one-time payment of your outstanding loan with the account number ending in 49c4. https://apps.usw2.pure.cloud/directory/#/engage/admin/interactions/4d89af41-de9f-4ec1-8ba0-a9790213ffaa   ",2025-08-20 20:25:15.000000000
2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,One Time Payment Scheduled via HMMA, * Amount: $795.28 * Scheduled Payment Date (Apply Date): 08/14/2025 * Process Date and Timestamp: 08/13/2025 02:00 PM ,2025-08-14 22:33:27.000000000
