ATTACHMENT_SOURCE,TRANSACTION_ID,PAYOFF_LOAN_ID,PAYOFFUID,LOANID,LOAN_TRANSACTION_DATE,APPLY_DATE,REVERSAL_DATE,LAST_UPDATED_DATE,LOAN_TRANSACTION_TYPE,DESCRIPTION,LOAN_TRANSACTION_AMOUNT,PAYMENT_FLAG,LOAN_PRINCIPAL,LOAN_INTEREST,STARTING_BALANCE,ENDING_BALANCE,POSTCHARGEOFFEVENT,CHARGEOFFEVENTIND,LOAN_REVERSED,LOAN_REJECTED,LOAN_CLEARED,ORIGINATION_DATE,LOAN_AMOUNT,TERM,INTEREST_RATE,LOAN_CLOSED_DATE,CHARGE_OFF_DATE
Attachment_B,8824480,HMB96B7AB2AE64,6cd6a429-e1ea-420c-b3e6-b96b7ab2ae64,203810,2025-09-29,2025-09-30,,2025-09-29T21:00:27,Payment,Regular: Transaction ID 8824480,265.58,True,207.53,58.05,4483.26,4275.73,False,False,False,0,0,2025-04-30,5500.0000,24.00000,14.5700,,
Attachment_B,8824291,HMF2A5DAA60C6E,825ebbc8-820d-4028-aeaf-f2a5daa60c6e,357078,2025-09-29,2025-09-30,,2025-09-29T21:00:16,Payment,Regular: Transaction ID 8824291,483.82,True,372.23,111.59,8907.64,8535.41,False,False,False,0,1,2025-05-30,10000.0000,24.00000,14.7500,,
Attachment_B,8824465,HM3FDDB4EB5CDF,bf273ab5-924c-43ee-9ab7-3fddb4eb5cdf,358433,2025-09-29,2025-09-30,,2025-09-29T21:00:26,Payment,Regular: Transaction ID 8824465,773.47,True,306.75,466.72,29386.44,29079.69,False,False,False,0,1,2025-06-30,30000.0000,60.00000,18.7000,,
Attachment_B,8824065,HM74ED05830695,d526a598-c3ff-42d8-b6cb-74ed05830695,358271,2025-09-29,2025-09-30,,2025-09-29T21:00:09,Payment,Regular: Transaction ID 8824065,676.58,True,168.72,507.86,24519.87,24351.15,False,False,False,0,1,2025-06-25,25000.0000,60.00000,21.0000,,
Attachment_B,8824264,HM5B1CFDF18908,fa40b845-77fd-4371-a69e-5b1cfdf18908,358485,2025-09-29,2025-09-30,,2025-09-29T21:00:15,Payment,Regular: Transaction ID 8824264,621.60,True,209.04,412.56,22080.05,21871.01,False,False,False,0,1,2025-06-30,22500.0000,60.00000,22.0000,,
Attachment_B,8823654,HM7DF2C09AFC6A,585f13c6-0077-4b42-a4b4-7df2c09afc6a,294008,2025-09-29,2025-09-29,,2025-09-29T10:35:04,Payment,Regular: Transaction ID 8823654,919.87,True,21.58,898.29,28700.82,28679.24,False,False,False,0,1,2025-05-07,30000.0000,48.00000,20.4000,,
Attachment_B,8823853,HM02AED124F009,bb54829b-7777-459a-95fc-02aed124f009,310635,2025-09-29,2025-09-29,,2025-09-29T18:05:05,Payment,Regular: Transaction ID 8823853,500.00,True,234.33,265.67,16357.80,16123.47,False,False,False,0,1,2025-05-08,17000.0000,60.00000,24.7000,,
Attachment_B,8824847,HM311FC8158CCA,c982c62c-b692-4bfd-8cf8-311fc8158cca,357021,2025-09-29,2025-09-29,,2025-09-30T00:50:05,Payment,Regular: Transaction ID 8824847,477.13,True,192.33,284.80,17931.76,17739.43,False,False,False,0,1,2025-05-29,18500.0000,60.00000,18.7000,,
Attachment_B,8823433,HM1432D4AE6FC5,62c208a8-2cc6-48d1-9e56-1432d4ae6fc5,357659,2025-09-28,2025-09-28,,2025-09-28T15:35:03,Payment,Regular: Transaction ID 8823433,651.82,True,179.00,472.82,21874.67,21695.67,False,False,False,0,1,2025-06-12,22000.0000,60.00000,25.4500,,
Attachment_B,8823185,HM602AC4FEEA37,37da346d-0ba0-46b0-b6ed-602ac4feea37,357016,2025-09-27,2025-09-27,,2025-09-27T16:05:04,Payment,Regular: Transaction ID 8823185,432.27,True,210.39,221.88,13426.26,13215.87,False,False,False,0,1,2025-05-29,14000.0000,48.00000,20.8000,,
