LOAN_ID,PORTFOLIO_ID,PORTFOLIO_NAME,FRAUD_TYPE,FRAUD_CONFIRMED_DATE,LOAN_STATUS,LOAN_CLOSED_DATE,REPURCHASED_BY_HAPPY_MONEY,CURRENT_INVESTOR
98698,98; 139; 139; 139; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Cross River Bank TP; Cross River Bank TP; Cross River Bank TP; First Party Fraud - Confirmed,1st Party Fraud,2025-02-18,Charged Off,,No,Cross River Bank TP
96659,98; 139; 139; 139; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Cross River Bank TP; Cross River Bank TP; Cross River Bank TP; First Party Fraud - Confirmed,1st Party Fraud,2025-02-14,Charged Off,,No,Cross River Bank TP
100670,77; 77; 77; 98; 193; 196,Alliant CU; Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-02-14,Charged Off,,No,Alliant CU
109680,18; 91; 91; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed; Fraud - Declined; Veridian CU; Veridian CU,1st Party Fraud,2025-02-14,Charged Off,,No,Veridian CU
83233,31; 86; 86; 98; 181; 193; 196,Bankruptcy - Pending; Bankruptcy Monitoring; BankruptcyWatch Integration; BankruptcyWatch Primary Case Terminated; First Party Fraud - Confirmed; GreenState CU; GreenState CU,1st Party Fraud,2025-02-13,Charged Off,,No,GreenState CU
84135,77; 77; 98; 193; 196,Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-02-13,Charged Off,,No,Alliant CU
108847,86; 86; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed; GreenState CU; GreenState CU,1st Party Fraud,2025-02-13,Charged Off,,No,GreenState CU
96088,77; 77; 77; 98; 193; 196,Alliant CU; Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-02-12,Charged Off,,No,Alliant CU
97193,98; 138; 138; 138; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Cross River Bank TM; Cross River Bank TM; Cross River Bank TM; First Party Fraud - Confirmed,1st Party Fraud,2025-02-10,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
97193,98; 138; 138; 138; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Cross River Bank TM; Cross River Bank TM; Cross River Bank TM; First Party Fraud - Confirmed,1st Party Fraud,2025-02-10,Charged Off,,No,Cross River Bank TM
97445,98; 138; 138; 138; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Cross River Bank TM; Cross River Bank TM; Cross River Bank TM; First Party Fraud - Confirmed,1st Party Fraud,2025-02-10,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
97445,98; 138; 138; 138; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Cross River Bank TM; Cross River Bank TM; Cross River Bank TM; First Party Fraud - Confirmed,1st Party Fraud,2025-02-10,Charged Off,,No,Cross River Bank TM
122521,79; 79; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed; First Tech FCU; First Tech FCU,1st Party Fraud,2025-02-10,Charged Off,,No,First Tech FCU
89063,77; 77; 98; 193; 196,Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-02-07,Charged Off,,No,Alliant CU
104277,18; 79; 79; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed; First Tech FCU; First Tech FCU; Fraud - Declined,1st Party Fraud,2025-02-07,Charged Off,,No,First Tech FCU
111248,64; 90; 90; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Blue FCU; Blue FCU; Enrolled In AutoPay; First Party Fraud - Confirmed,1st Party Fraud,2025-02-06,Charged Off,,No,Blue FCU
87534,86; 86; 98; 174; 181; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; BankruptcyWatch Primary Case Dismissed; BankruptcyWatch Primary Case Terminated; First Party Fraud - Confirmed; GreenState CU; GreenState CU,1st Party Fraud,2025-02-05,Charged Off,,No,Happy Money
103707,65; 72; 73; 74; 75; 79; 79; 98; 173; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; BankruptcyWatch Primary Case Filed; Cease and Desist; Do Not Call; Do Not Email; Do Not Mail; Do Not SMS; First Party Fraud - Confirmed; First Tech FCU; First Tech FCU,1st Party Fraud,2025-02-05,Charged Off,,No,First Tech FCU
111960,77; 77; 98; 193; 196,Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-02-05,Charged Off,,No,Alliant CU
87754,77; 77; 98; 193; 196,Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-02-04,Charged Off,,No,Alliant CU
101573,98; 193; 196; 198; 198,Bankruptcy Monitoring; BankruptcyWatch Integration; FEB; FEB; First Party Fraud - Confirmed,1st Party Fraud,2025-02-04,Charged Off,,No,Happy Money
111483,77; 77; 98; 193; 196,Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-02-04,Charged Off,,No,Alliant CU
103541,77; 77; 98; 193; 196,Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-01-31,Charged Off,,No,Alliant CU
88107,18; 88; 88; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed; Fraud - Declined; USAlliance FCU; USAlliance FCU,1st Party Fraud,2025-01-30,Charged Off,,No,USAlliance FCU
98710,98; 138; 138; 138; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Cross River Bank TM; Cross River Bank TM; Cross River Bank TM; First Party Fraud - Confirmed,1st Party Fraud,2025-01-30,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
98710,98; 138; 138; 138; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Cross River Bank TM; Cross River Bank TM; Cross River Bank TM; First Party Fraud - Confirmed,1st Party Fraud,2025-01-30,Charged Off,,No,Cross River Bank TM
81269,77; 77; 98; 193; 196,Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-01-29,Charged Off,,No,Alliant CU
84826,77; 77; 98; 193; 196,Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-01-28,Charged Off,,No,Alliant CU
88592,64; 88; 88; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Enrolled In AutoPay; First Party Fraud - Confirmed; USAlliance FCU; USAlliance FCU,1st Party Fraud,2025-01-28,Charged Off,,No,USAlliance FCU
107308,18; 77; 77; 98; 193; 196,Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed; Fraud - Declined,1st Party Fraud,2025-01-28,Charged Off,,No,Alliant CU
118176,79; 79; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed; First Tech FCU; First Tech FCU,1st Party Fraud,2025-01-28,Charged Off,,No,First Tech FCU
122483,77; 77; 98; 193; 196,Alliant CU; Alliant CU; Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed,1st Party Fraud,2025-01-28,Charged Off,,No,Alliant CU
123783,64; 79; 79; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Enrolled In AutoPay; First Party Fraud - Confirmed; First Tech FCU; First Tech FCU,1st Party Fraud,2025-01-28,Charged Off,,No,First Tech FCU
81715,78; 78; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed; Technology CU; Technology CU,1st Party Fraud,2025-01-27,Charged Off,,Yes - Repurchased,Payoff Consumer Loan Trust
81715,78; 78; 98; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; First Party Fraud - Confirmed; Technology CU; Technology CU,1st Party Fraud,2025-01-27,Charged Off,,No,Technology CU
96973,98; 139; 139; 139; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Cross River Bank TP; Cross River Bank TP; Cross River Bank TP; First Party Fraud - Confirmed,1st Party Fraud,2025-01-27,Charged Off,,No,Cross River Bank TP
98231,98; 139; 139; 139; 193; 196,Bankruptcy Monitoring; BankruptcyWatch Integration; Cross River Bank TP; Cross River Bank TP; Cross River Bank TP; First Party Fraud - Confirmed,1st Party Fraud,2025-01-27,Charged Off,,No,Cross River Bank TP
