LOAN_ID,PORTFOLIO_ID,PORTFOLIO_NAME,FRAUD_TYPE,FRAUD_CONFIRMED_DATE,LOAN_STATUS,LOAN_CLOSED_DATE,REPURCHASED_BY_HAPPY_MONEY,CURRENT_INVESTOR
98698,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-02-18,Charged Off,,No,Cross River Bank TP
98698,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-02-18,Charged Off,,No,Cross River Bank TP
98698,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-02-18,Charged Off,,No,Cross River Bank TP
98698,139,Cross River Bank TP,TBD - Needs Business Logic,2025-02-18,Charged Off,,No,Cross River Bank TP
98698,139,Cross River Bank TP,TBD - Needs Business Logic,2025-02-18,Charged Off,,No,Cross River Bank TP
98698,139,Cross River Bank TP,TBD - Needs Business Logic,2025-02-18,Charged Off,,No,Cross River Bank TP
96659,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Cross River Bank TP
96659,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Cross River Bank TP
96659,139,Cross River Bank TP,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Cross River Bank TP
96659,139,Cross River Bank TP,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Cross River Bank TP
96659,139,Cross River Bank TP,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Cross River Bank TP
96659,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Cross River Bank TP
100670,77,Alliant CU,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Alliant CU
100670,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Alliant CU
100670,77,Alliant CU,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Alliant CU
100670,77,Alliant CU,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Alliant CU
100670,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Alliant CU
100670,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Alliant CU
109680,18,Fraud - Declined,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Veridian CU
109680,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Veridian CU
109680,91,Veridian CU,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Veridian CU
109680,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Veridian CU
109680,91,Veridian CU,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Veridian CU
109680,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-02-14,Charged Off,,No,Veridian CU
83233,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
83233,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
83233,181,BankruptcyWatch Primary Case Terminated,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
83233,86,GreenState CU,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
83233,86,GreenState CU,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
83233,31,Bankruptcy - Pending,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
83233,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
84135,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,Alliant CU
84135,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,Alliant CU
84135,77,Alliant CU,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,Alliant CU
84135,77,Alliant CU,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,Alliant CU
84135,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,Alliant CU
108847,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
108847,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
108847,86,GreenState CU,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
108847,86,GreenState CU,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
108847,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-02-13,Charged Off,,No,GreenState CU
96088,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-02-12,Charged Off,,No,Alliant CU
96088,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-02-12,Charged Off,,No,Alliant CU
96088,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-02-12,Charged Off,,No,Alliant CU
96088,77,Alliant CU,TBD - Needs Business Logic,2025-02-12,Charged Off,,No,Alliant CU
96088,77,Alliant CU,TBD - Needs Business Logic,2025-02-12,Charged Off,,No,Alliant CU
96088,77,Alliant CU,TBD - Needs Business Logic,2025-02-12,Charged Off,,No,Alliant CU
97193,138,Cross River Bank TM,TBD - Needs Business Logic,2025-02-10,Charged Off,,No,Cross River Bank TM
97193,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-02-10,Charged Off,,No,Cross River Bank TM
97193,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-02-10,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
97193,138,Cross River Bank TM,TBD - Needs Business Logic,2025-02-10,Charged Off,,No,Cross River Bank TM
97193,138,Cross River Bank TM,TBD - Needs Business Logic,2025-02-10,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
97193,138,Cross River Bank TM,TBD - Needs Business Logic,2025-02-10,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
97193,138,Cross River Bank TM,TBD - Needs Business Logic,2025-02-10,Charged Off,,No,Cross River Bank TM
97193,138,Cross River Bank TM,TBD - Needs Business Logic,2025-02-10,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
97193,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-02-10,Charged Off,,No,Cross River Bank TM
97193,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-02-10,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
