YEAR,CO2_MILLION_TONNES,CO2_PER_CAPITA,YOY_GROWTH_PCT,SHARE_GLOBAL_PCT
2000,6023.16,21.4,3.84,5.77
2001,5903.56,20.77,-1.99,5.54
2002,5947.82,20.72,0.75,5.54
2003,6006.44,20.72,0.99,5.06
2004,6111.54,20.87,1.75,5.12
2005,6126.9,20.72,0.25,4.78
2006,6045.33,20.24,-1.33,4.47
2007,6121.54,20.28,1.26,4.04
2008,5919.22,19.41,-3.31,3.64
2009,5486.1,17.81,-7.32,2.53
2010,5669.25,18.23,3.34,2.51
2011,5538.97,17.63,-2.3,2.4
2012,5331.47,16.81,-3.75,2.56
2013,5473.44,17.1,2.66,2.52
2014,5531.39,17.12,1.06,2.64
2015,5368.5,16.46,-2.94,2.77
2016,5245.36,15.93,-2.29,2.67
2017,5195.42,15.64,-0.95,2.69
2018,5361.24,16.0,3.19,2.52
2019,5235.91,15.5,-2.34,2.53
2020,4689.95,13.82,-10.43,2.51
2021,5020.11,14.76,7.04,2.48
2022,5055.4,14.8,0.7,2.65
2023,4918.41,14.32,-2.71,2.64
2024,4904.12,14.2,-0.29,2.53
