TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICABLE_ROLES,GRANTEE,1,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICABLE_ROLES,ROLE_NAME,2,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICABLE_ROLES,ROLE_OWNER,3,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICABLE_ROLES,IS_GRANTABLE,4,TEXT,YES
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,NAME,1,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,APPLICATION_NAME,2,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,TYPE,3,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,SEQUENCE_NUMBER,4,NUMBER,NO
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,REQUESTED_ON,5,TIMESTAMP_LTZ,YES
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,STATUS,6,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,STATUS_UPDATED_ON,7,TIMESTAMP_LTZ,YES
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,LABEL,8,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,DESCRIPTION,9,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,DEFINITION,10,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,CALL_CENTER,CC_CALL_CENTER_SK,1,NUMBER,NO
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CALL_CENTER,CC_CALL_CENTER_SK,1,NUMBER,NO
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,CALL_CENTER,CC_CALL_CENTER_ID,2,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CALL_CENTER,CC_CALL_CENTER_ID,2,TEXT,NO
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CALL_CENTER,CC_REC_START_DATE,3,DATE,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,CALL_CENTER,CC_REC_START_DATE,3,DATE,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CALL_CENTER,CC_REC_END_DATE,4,DATE,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,CALL_CENTER,CC_REC_END_DATE,4,DATE,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CALL_CENTER,CC_CLOSED_DATE_SK,5,NUMBER,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,CALL_CENTER,CC_CLOSED_DATE_SK,5,NUMBER,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CALL_CENTER,CC_OPEN_DATE_SK,6,NUMBER,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,CALL_CENTER,CC_OPEN_DATE_SK,6,NUMBER,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,CALL_CENTER,CC_NAME,7,TEXT,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CALL_CENTER,CC_NAME,7,TEXT,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,CALL_CENTER,CC_CLASS,8,TEXT,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CALL_CENTER,CC_CLASS,8,TEXT,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,CALL_CENTER,CC_EMPLOYEES,9,NUMBER,YES
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CALL_CENTER,CC_EMPLOYEES,9,NUMBER,YES
