TABLE_SCHEMA,TABLE_NAME,COLUMN_COUNT
INFORMATION_SCHEMA,APPLICABLE_ROLES,4
INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,10
INFORMATION_SCHEMA,CLASSES,9
INFORMATION_SCHEMA,CLASS_INSTANCES,11
INFORMATION_SCHEMA,CLASS_INSTANCE_FUNCTIONS,29
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,17
INFORMATION_SCHEMA,COLUMNS,44
INFORMATION_SCHEMA,CORTEX_SEARCH_SERVICES,25
INFORMATION_SCHEMA,CORTEX_SEARCH_SERVICE_SCORING_PROFILES,5
INFORMATION_SCHEMA,CURRENT_PACKAGES_POLICY,6
INFORMATION_SCHEMA,DATABASES,10
INFORMATION_SCHEMA,ELEMENT_TYPES,28
INFORMATION_SCHEMA,ENABLED_ROLES,2
INFORMATION_SCHEMA,EVENT_TABLES,7
INFORMATION_SCHEMA,EXTERNAL_TABLES,12
INFORMATION_SCHEMA,FIELDS,30
INFORMATION_SCHEMA,FILE_FORMATS,22
INFORMATION_SCHEMA,FUNCTIONS,37
INFORMATION_SCHEMA,GIT_REPOSITORIES,10
INFORMATION_SCHEMA,HYBRID_TABLES,10
INFORMATION_SCHEMA,INDEXES,9
INFORMATION_SCHEMA,INDEX_COLUMNS,11
INFORMATION_SCHEMA,INFORMATION_SCHEMA_CATALOG_NAME,1
INFORMATION_SCHEMA,LOAD_HISTORY,13
INFORMATION_SCHEMA,MODEL_VERSIONS,19
INFORMATION_SCHEMA,NOTEBOOKS,10
INFORMATION_SCHEMA,OBJECT_PRIVILEGES,10
INFORMATION_SCHEMA,PACKAGES,4
INFORMATION_SCHEMA,PIPES,11
INFORMATION_SCHEMA,PROCEDURES,21
INFORMATION_SCHEMA,REFERENTIAL_CONSTRAINTS,12
INFORMATION_SCHEMA,REPLICATION_DATABASES,10
INFORMATION_SCHEMA,REPLICATION_GROUPS,20
INFORMATION_SCHEMA,SCHEMATA,15
INFORMATION_SCHEMA,SEMANTIC_DIMENSIONS,13
INFORMATION_SCHEMA,SEMANTIC_FACTS,9
INFORMATION_SCHEMA,SEMANTIC_METRICS,9
INFORMATION_SCHEMA,SEMANTIC_RELATIONSHIPS,8
INFORMATION_SCHEMA,SEMANTIC_TABLES,11
INFORMATION_SCHEMA,SEMANTIC_VIEWS,6
INFORMATION_SCHEMA,SEQUENCES,18
INFORMATION_SCHEMA,SERVICES,24
INFORMATION_SCHEMA,SNAPSHOTS,7
INFORMATION_SCHEMA,SNAPSHOT_POLICIES,11
INFORMATION_SCHEMA,SNAPSHOT_SETS,15
INFORMATION_SCHEMA,STAGES,12
INFORMATION_SCHEMA,STREAMLITS,12
INFORMATION_SCHEMA,TABLES,29
INFORMATION_SCHEMA,TABLE_CONSTRAINTS,14
INFORMATION_SCHEMA,TABLE_PRIVILEGES,10
INFORMATION_SCHEMA,TABLE_STORAGE_METRICS,18
INFORMATION_SCHEMA,USAGE_PRIVILEGES,10
INFORMATION_SCHEMA,VIEWS,14
TPCDS_SF100TCL,CALL_CENTER,31
TPCDS_SF100TCL,CATALOG_PAGE,9
TPCDS_SF100TCL,CATALOG_RETURNS,27
TPCDS_SF100TCL,CATALOG_SALES,34
TPCDS_SF100TCL,CUSTOMER,18
TPCDS_SF100TCL,CUSTOMER_ADDRESS,13
TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,9
TPCDS_SF100TCL,DATE_DIM,28
TPCDS_SF100TCL,HOUSEHOLD_DEMOGRAPHICS,5
TPCDS_SF100TCL,INCOME_BAND,3
TPCDS_SF100TCL,INVENTORY,4
TPCDS_SF100TCL,ITEM,22
TPCDS_SF100TCL,PROMOTION,19
TPCDS_SF100TCL,REASON,3
TPCDS_SF100TCL,SHIP_MODE,6
TPCDS_SF100TCL,STORE,29
TPCDS_SF100TCL,STORE_RETURNS,20
TPCDS_SF100TCL,STORE_SALES,23
TPCDS_SF100TCL,TIME_DIM,10
TPCDS_SF100TCL,WAREHOUSE,14
TPCDS_SF100TCL,WEB_PAGE,14
TPCDS_SF100TCL,WEB_RETURNS,24
TPCDS_SF100TCL,WEB_SALES,34
TPCDS_SF100TCL,WEB_SITE,26
TPCDS_SF10TCL,CALL_CENTER,31
TPCDS_SF10TCL,CATALOG_PAGE,9
TPCDS_SF10TCL,CATALOG_RETURNS,27
TPCDS_SF10TCL,CATALOG_SALES,34
TPCDS_SF10TCL,CUSTOMER,18
TPCDS_SF10TCL,CUSTOMER_ADDRESS,13
TPCDS_SF10TCL,CUSTOMER_DEMOGRAPHICS,9
TPCDS_SF10TCL,DATE_DIM,28
TPCDS_SF10TCL,HOUSEHOLD_DEMOGRAPHICS,5
TPCDS_SF10TCL,INCOME_BAND,3
TPCDS_SF10TCL,INVENTORY,4
TPCDS_SF10TCL,ITEM,22
TPCDS_SF10TCL,PROMOTION,19
TPCDS_SF10TCL,REASON,3
TPCDS_SF10TCL,SHIP_MODE,6
TPCDS_SF10TCL,STORE,29
TPCDS_SF10TCL,STORE_RETURNS,20
TPCDS_SF10TCL,STORE_SALES,23
TPCDS_SF10TCL,TIME_DIM,10
TPCDS_SF10TCL,WAREHOUSE,14
TPCDS_SF10TCL,WEB_PAGE,14
TPCDS_SF10TCL,WEB_RETURNS,24
TPCDS_SF10TCL,WEB_SALES,34
TPCDS_SF10TCL,WEB_SITE,26
TPCH_SF1,CUSTOMER,8
TPCH_SF1,LINEITEM,16
TPCH_SF1,NATION,4
TPCH_SF1,ORDERS,9
TPCH_SF1,PART,9
TPCH_SF1,PARTSUPP,5
TPCH_SF1,REGION,3
TPCH_SF1,SUPPLIER,7
TPCH_SF10,CUSTOMER,8
TPCH_SF10,LINEITEM,16
TPCH_SF10,NATION,4
TPCH_SF10,ORDERS,9
TPCH_SF10,PART,9
TPCH_SF10,PARTSUPP,5
TPCH_SF10,REGION,3
TPCH_SF10,SUPPLIER,7
TPCH_SF100,CUSTOMER,8
TPCH_SF100,LINEITEM,16
TPCH_SF100,NATION,4
TPCH_SF100,ORDERS,9
TPCH_SF100,PART,9
TPCH_SF100,PARTSUPP,5
TPCH_SF100,REGION,3
TPCH_SF100,SUPPLIER,7
TPCH_SF1000,CUSTOMER,8
TPCH_SF1000,LINEITEM,16
TPCH_SF1000,NATION,4
TPCH_SF1000,ORDERS,9
TPCH_SF1000,PART,9
TPCH_SF1000,PARTSUPP,5
TPCH_SF1000,REGION,3
TPCH_SF1000,SUPPLIER,7
