installation,activity_id,institution_id,source_id,experiment_id,table_id,variable_id,grid_label,path
pv_distributed,WRF,ERA,EC-Earth3,historical,1hr,cf,d03,s3://wfclimres/era/pv_distributed/ec-earth3/historical/1hr/cf/d03/
pv_distributed,WRF,ERA,EC-Earth3,historical,1hr,gen,d03,s3://wfclimres/era/pv_distributed/ec-earth3/historical/1hr/gen/d03/
pv_distributed,WRF,ERA,EC-Earth3,historical,day,cf,d03,s3://wfclimres/era/pv_distributed/ec-earth3/historical/day/cf/d03/
pv_distributed,WRF,ERA,EC-Earth3,historical,day,gen,d03,s3://wfclimres/era/pv_distributed/ec-earth3/historical/day/gen/d03/
pv_distributed,WRF,ERA,EC-Earth3,ssp370,1hr,cf,d03,s3://wfclimres/era/pv_distributed/ec-earth3/ssp370/1hr/cf/d03/
pv_distributed,WRF,ERA,EC-Earth3,ssp370,1hr,gen,d03,s3://wfclimres/era/pv_distributed/ec-earth3/ssp370/1hr/gen/d03/
pv_distributed,WRF,ERA,EC-Earth3,ssp370,day,cf,d03,s3://wfclimres/era/pv_distributed/ec-earth3/ssp370/day/cf/d03/
pv_distributed,WRF,ERA,EC-Earth3,ssp370,day,gen,d03,s3://wfclimres/era/pv_distributed/ec-earth3/ssp370/day/gen/d03/
pv_distributed,WRF,ERA,ERA5,reanalysis,1hr,cf,d03,s3://wfclimres/era/pv_distributed/era5/reanalysis/1hr/cf/d03/
pv_distributed,WRF,ERA,ERA5,reanalysis,1hr,gen,d03,s3://wfclimres/era/pv_distributed/era5/reanalysis/1hr/gen/d03/
pv_distributed,WRF,ERA,ERA5,reanalysis,day,cf,d03,s3://wfclimres/era/pv_distributed/era5/reanalysis/day/cf/d03/
pv_distributed,WRF,ERA,ERA5,reanalysis,day,gen,d03,s3://wfclimres/era/pv_distributed/era5/reanalysis/day/gen/d03/
pv_distributed,WRF,ERA,MIROC6,historical,1hr,cf,d03,s3://wfclimres/era/pv_distributed/miroc6/historical/1hr/cf/d03/
pv_distributed,WRF,ERA,MIROC6,historical,1hr,gen,d03,s3://wfclimres/era/pv_distributed/miroc6/historical/1hr/gen/d03/
pv_distributed,WRF,ERA,MIROC6,historical,day,cf,d03,s3://wfclimres/era/pv_distributed/miroc6/historical/day/cf/d03/
pv_distributed,WRF,ERA,MIROC6,historical,day,gen,d03,s3://wfclimres/era/pv_distributed/miroc6/historical/day/gen/d03/
pv_distributed,WRF,ERA,MIROC6,ssp370,1hr,cf,d03,s3://wfclimres/era/pv_distributed/miroc6/ssp370/1hr/cf/d03/
pv_distributed,WRF,ERA,MIROC6,ssp370,1hr,gen,d03,s3://wfclimres/era/pv_distributed/miroc6/ssp370/1hr/gen/d03/
pv_distributed,WRF,ERA,MIROC6,ssp370,day,cf,d03,s3://wfclimres/era/pv_distributed/miroc6/ssp370/day/cf/d03/
pv_distributed,WRF,ERA,MIROC6,ssp370,day,gen,d03,s3://wfclimres/era/pv_distributed/miroc6/ssp370/day/gen/d03/
pv_distributed,WRF,ERA,MPI-ESM1-2-HR,historical,1hr,cf,d03,s3://wfclimres/era/pv_distributed/mpi-esm1-2-hr/historical/1hr/cf/d03/
pv_distributed,WRF,ERA,MPI-ESM1-2-HR,historical,1hr,gen,d03,s3://wfclimres/era/pv_distributed/mpi-esm1-2-hr/historical/1hr/gen/d03/
pv_distributed,WRF,ERA,MPI-ESM1-2-HR,historical,day,cf,d03,s3://wfclimres/era/pv_distributed/mpi-esm1-2-hr/historical/day/cf/d03/
pv_distributed,WRF,ERA,MPI-ESM1-2-HR,historical,day,gen,d03,s3://wfclimres/era/pv_distributed/mpi-esm1-2-hr/historical/day/gen/d03/
pv_distributed,WRF,ERA,MPI-ESM1-2-HR,ssp370,1hr,cf,d03,s3://wfclimres/era/pv_distributed/mpi-esm1-2-hr/ssp370/1hr/cf/d03/
pv_distributed,WRF,ERA,MPI-ESM1-2-HR,ssp370,1hr,gen,d03,s3://wfclimres/era/pv_distributed/mpi-esm1-2-hr/ssp370/1hr/gen/d03/
pv_distributed,WRF,ERA,MPI-ESM1-2-HR,ssp370,day,cf,d03,s3://wfclimres/era/pv_distributed/mpi-esm1-2-hr/ssp370/day/cf/d03/
pv_distributed,WRF,ERA,MPI-ESM1-2-HR,ssp370,day,gen,d03,s3://wfclimres/era/pv_distributed/mpi-esm1-2-hr/ssp370/day/gen/d03/
pv_distributed,WRF,ERA,TaiESM1,historical,1hr,cf,d03,s3://wfclimres/era/pv_distributed/taiesm1/historical/1hr/cf/d03/
pv_distributed,WRF,ERA,TaiESM1,historical,1hr,gen,d03,s3://wfclimres/era/pv_distributed/taiesm1/historical/1hr/gen/d03/
pv_distributed,WRF,ERA,TaiESM1,historical,day,cf,d03,s3://wfclimres/era/pv_distributed/taiesm1/historical/day/cf/d03/
pv_distributed,WRF,ERA,TaiESM1,historical,day,gen,d03,s3://wfclimres/era/pv_distributed/taiesm1/historical/day/gen/d03/
pv_distributed,WRF,ERA,TaiESM1,ssp370,1hr,cf,d03,s3://wfclimres/era/pv_distributed/taiesm1/ssp370/1hr/cf/d03/
pv_distributed,WRF,ERA,TaiESM1,ssp370,1hr,gen,d03,s3://wfclimres/era/pv_distributed/taiesm1/ssp370/1hr/gen/d03/
pv_distributed,WRF,ERA,TaiESM1,ssp370,day,cf,d03,s3://wfclimres/era/pv_distributed/taiesm1/ssp370/day/cf/d03/
pv_distributed,WRF,ERA,TaiESM1,ssp370,day,gen,d03,s3://wfclimres/era/pv_distributed/taiesm1/ssp370/day/gen/d03/
pv_utility,WRF,ERA,EC-Earth3,historical,1hr,cf,d02,s3://wfclimres/era/pv_utility/ec-earth3/historical/1hr/cf/d02/
pv_utility,WRF,ERA,EC-Earth3,historical,1hr,cf,d03,s3://wfclimres/era/pv_utility/ec-earth3/historical/1hr/cf/d03/
pv_utility,WRF,ERA,EC-Earth3,historical,1hr,gen,d02,s3://wfclimres/era/pv_utility/ec-earth3/historical/1hr/gen/d02/
pv_utility,WRF,ERA,EC-Earth3,historical,1hr,gen,d03,s3://wfclimres/era/pv_utility/ec-earth3/historical/1hr/gen/d03/
pv_utility,WRF,ERA,EC-Earth3,historical,day,cf,d02,s3://wfclimres/era/pv_utility/ec-earth3/historical/day/cf/d02/
pv_utility,WRF,ERA,EC-Earth3,historical,day,cf,d03,s3://wfclimres/era/pv_utility/ec-earth3/historical/day/cf/d03/
pv_utility,WRF,ERA,EC-Earth3,historical,day,gen,d02,s3://wfclimres/era/pv_utility/ec-earth3/historical/day/gen/d02/
pv_utility,WRF,ERA,EC-Earth3,historical,day,gen,d03,s3://wfclimres/era/pv_utility/ec-earth3/historical/day/gen/d03/
pv_utility,WRF,ERA,EC-Earth3,ssp370,1hr,cf,d02,s3://wfclimres/era/pv_utility/ec-earth3/ssp370/1hr/cf/d02/
pv_utility,WRF,ERA,EC-Earth3,ssp370,1hr,cf,d03,s3://wfclimres/era/pv_utility/ec-earth3/ssp370/1hr/cf/d03/
pv_utility,WRF,ERA,EC-Earth3,ssp370,1hr,gen,d02,s3://wfclimres/era/pv_utility/ec-earth3/ssp370/1hr/gen/d02/
pv_utility,WRF,ERA,EC-Earth3,ssp370,1hr,gen,d03,s3://wfclimres/era/pv_utility/ec-earth3/ssp370/1hr/gen/d03/
pv_utility,WRF,ERA,EC-Earth3,ssp370,day,cf,d02,s3://wfclimres/era/pv_utility/ec-earth3/ssp370/day/cf/d02/
pv_utility,WRF,ERA,EC-Earth3,ssp370,day,cf,d03,s3://wfclimres/era/pv_utility/ec-earth3/ssp370/day/cf/d03/
pv_utility,WRF,ERA,EC-Earth3,ssp370,day,gen,d02,s3://wfclimres/era/pv_utility/ec-earth3/ssp370/day/gen/d02/
pv_utility,WRF,ERA,EC-Earth3,ssp370,day,gen,d03,s3://wfclimres/era/pv_utility/ec-earth3/ssp370/day/gen/d03/
pv_utility,WRF,ERA,ERA5,reanalysis,1hr,cf,d02,s3://wfclimres/era/pv_utility/era5/reanalysis/1hr/cf/d02/
pv_utility,WRF,ERA,ERA5,reanalysis,1hr,cf,d03,s3://wfclimres/era/pv_utility/era5/reanalysis/1hr/cf/d03/
pv_utility,WRF,ERA,ERA5,reanalysis,1hr,gen,d02,s3://wfclimres/era/pv_utility/era5/reanalysis/1hr/gen/d02/
pv_utility,WRF,ERA,ERA5,reanalysis,1hr,gen,d03,s3://wfclimres/era/pv_utility/era5/reanalysis/1hr/gen/d03/
pv_utility,WRF,ERA,ERA5,reanalysis,day,cf,d02,s3://wfclimres/era/pv_utility/era5/reanalysis/day/cf/d02/
pv_utility,WRF,ERA,ERA5,reanalysis,day,cf,d03,s3://wfclimres/era/pv_utility/era5/reanalysis/day/cf/d03/
pv_utility,WRF,ERA,ERA5,reanalysis,day,gen,d02,s3://wfclimres/era/pv_utility/era5/reanalysis/day/gen/d02/
pv_utility,WRF,ERA,ERA5,reanalysis,day,gen,d03,s3://wfclimres/era/pv_utility/era5/reanalysis/day/gen/d03/
pv_utility,WRF,ERA,MIROC6,historical,1hr,cf,d02,s3://wfclimres/era/pv_utility/miroc6/historical/1hr/cf/d02/
pv_utility,WRF,ERA,MIROC6,historical,1hr,cf,d03,s3://wfclimres/era/pv_utility/miroc6/historical/1hr/cf/d03/
pv_utility,WRF,ERA,MIROC6,historical,1hr,gen,d02,s3://wfclimres/era/pv_utility/miroc6/historical/1hr/gen/d02/
pv_utility,WRF,ERA,MIROC6,historical,1hr,gen,d03,s3://wfclimres/era/pv_utility/miroc6/historical/1hr/gen/d03/
pv_utility,WRF,ERA,MIROC6,historical,day,cf,d02,s3://wfclimres/era/pv_utility/miroc6/historical/day/cf/d02/
pv_utility,WRF,ERA,MIROC6,historical,day,cf,d03,s3://wfclimres/era/pv_utility/miroc6/historical/day/cf/d03/
pv_utility,WRF,ERA,MIROC6,historical,day,gen,d02,s3://wfclimres/era/pv_utility/miroc6/historical/day/gen/d02/
pv_utility,WRF,ERA,MIROC6,historical,day,gen,d03,s3://wfclimres/era/pv_utility/miroc6/historical/day/gen/d03/
pv_utility,WRF,ERA,MIROC6,ssp370,1hr,cf,d02,s3://wfclimres/era/pv_utility/miroc6/ssp370/1hr/cf/d02/
pv_utility,WRF,ERA,MIROC6,ssp370,1hr,cf,d03,s3://wfclimres/era/pv_utility/miroc6/ssp370/1hr/cf/d03/
pv_utility,WRF,ERA,MIROC6,ssp370,1hr,gen,d02,s3://wfclimres/era/pv_utility/miroc6/ssp370/1hr/gen/d02/
pv_utility,WRF,ERA,MIROC6,ssp370,1hr,gen,d03,s3://wfclimres/era/pv_utility/miroc6/ssp370/1hr/gen/d03/
pv_utility,WRF,ERA,MIROC6,ssp370,day,cf,d02,s3://wfclimres/era/pv_utility/miroc6/ssp370/day/cf/d02/
pv_utility,WRF,ERA,MIROC6,ssp370,day,cf,d03,s3://wfclimres/era/pv_utility/miroc6/ssp370/day/cf/d03/
pv_utility,WRF,ERA,MIROC6,ssp370,day,gen,d02,s3://wfclimres/era/pv_utility/miroc6/ssp370/day/gen/d02/
pv_utility,WRF,ERA,MIROC6,ssp370,day,gen,d03,s3://wfclimres/era/pv_utility/miroc6/ssp370/day/gen/d03/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,historical,1hr,cf,d02,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/historical/1hr/cf/d02/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,historical,1hr,cf,d03,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/historical/1hr/cf/d03/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,historical,1hr,gen,d02,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/historical/1hr/gen/d02/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,historical,1hr,gen,d03,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/historical/1hr/gen/d03/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,historical,day,cf,d02,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/historical/day/cf/d02/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,historical,day,cf,d03,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/historical/day/cf/d03/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,historical,day,gen,d02,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/historical/day/gen/d02/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,historical,day,gen,d03,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/historical/day/gen/d03/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,ssp370,1hr,cf,d02,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/ssp370/1hr/cf/d02/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,ssp370,1hr,cf,d03,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/ssp370/1hr/cf/d03/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,ssp370,1hr,gen,d02,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/ssp370/1hr/gen/d02/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,ssp370,1hr,gen,d03,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/ssp370/1hr/gen/d03/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,ssp370,day,cf,d02,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/ssp370/day/cf/d02/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,ssp370,day,cf,d03,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/ssp370/day/cf/d03/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,ssp370,day,gen,d02,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/ssp370/day/gen/d02/
pv_utility,WRF,ERA,MPI-ESM1-2-HR,ssp370,day,gen,d03,s3://wfclimres/era/pv_utility/mpi-esm1-2-hr/ssp370/day/gen/d03/
pv_utility,WRF,ERA,TaiESM1,historical,1hr,cf,d02,s3://wfclimres/era/pv_utility/taiesm1/historical/1hr/cf/d02/
pv_utility,WRF,ERA,TaiESM1,historical,1hr,cf,d03,s3://wfclimres/era/pv_utility/taiesm1/historical/1hr/cf/d03/
pv_utility,WRF,ERA,TaiESM1,historical,1hr,gen,d02,s3://wfclimres/era/pv_utility/taiesm1/historical/1hr/gen/d02/
pv_utility,WRF,ERA,TaiESM1,historical,1hr,gen,d03,s3://wfclimres/era/pv_utility/taiesm1/historical/1hr/gen/d03/
pv_utility,WRF,ERA,TaiESM1,historical,day,cf,d02,s3://wfclimres/era/pv_utility/taiesm1/historical/day/cf/d02/
pv_utility,WRF,ERA,TaiESM1,historical,day,cf,d03,s3://wfclimres/era/pv_utility/taiesm1/historical/day/cf/d03/
pv_utility,WRF,ERA,TaiESM1,historical,day,gen,d02,s3://wfclimres/era/pv_utility/taiesm1/historical/day/gen/d02/
pv_utility,WRF,ERA,TaiESM1,historical,day,gen,d03,s3://wfclimres/era/pv_utility/taiesm1/historical/day/gen/d03/
pv_utility,WRF,ERA,TaiESM1,ssp370,1hr,cf,d02,s3://wfclimres/era/pv_utility/taiesm1/ssp370/1hr/cf/d02/
pv_utility,WRF,ERA,TaiESM1,ssp370,1hr,cf,d03,s3://wfclimres/era/pv_utility/taiesm1/ssp370/1hr/cf/d03/
pv_utility,WRF,ERA,TaiESM1,ssp370,1hr,gen,d02,s3://wfclimres/era/pv_utility/taiesm1/ssp370/1hr/gen/d02/
pv_utility,WRF,ERA,TaiESM1,ssp370,1hr,gen,d03,s3://wfclimres/era/pv_utility/taiesm1/ssp370/1hr/gen/d03/
pv_utility,WRF,ERA,TaiESM1,ssp370,day,cf,d02,s3://wfclimres/era/pv_utility/taiesm1/ssp370/day/cf/d02/
pv_utility,WRF,ERA,TaiESM1,ssp370,day,cf,d03,s3://wfclimres/era/pv_utility/taiesm1/ssp370/day/cf/d03/
pv_utility,WRF,ERA,TaiESM1,ssp370,day,gen,d02,s3://wfclimres/era/pv_utility/taiesm1/ssp370/day/gen/d02/
pv_utility,WRF,ERA,TaiESM1,ssp370,day,gen,d03,s3://wfclimres/era/pv_utility/taiesm1/ssp370/day/gen/d03/
windpower_offshore,WRF,ERA,EC-Earth3,historical,1hr,cf,d03,s3://wfclimres/era/windpower_offshore/ec-earth3/historical/1hr/cf/d03/
windpower_offshore,WRF,ERA,EC-Earth3,historical,1hr,gen,d03,s3://wfclimres/era/windpower_offshore/ec-earth3/historical/1hr/gen/d03/
windpower_offshore,WRF,ERA,EC-Earth3,historical,day,cf,d03,s3://wfclimres/era/windpower_offshore/ec-earth3/historical/day/cf/d03/
windpower_offshore,WRF,ERA,EC-Earth3,historical,day,gen,d03,s3://wfclimres/era/windpower_offshore/ec-earth3/historical/day/gen/d03/
windpower_offshore,WRF,ERA,EC-Earth3,ssp370,1hr,cf,d03,s3://wfclimres/era/windpower_offshore/ec-earth3/ssp370/1hr/cf/d03/
windpower_offshore,WRF,ERA,EC-Earth3,ssp370,1hr,gen,d03,s3://wfclimres/era/windpower_offshore/ec-earth3/ssp370/1hr/gen/d03/
windpower_offshore,WRF,ERA,EC-Earth3,ssp370,day,cf,d03,s3://wfclimres/era/windpower_offshore/ec-earth3/ssp370/day/cf/d03/
windpower_offshore,WRF,ERA,EC-Earth3,ssp370,day,gen,d03,s3://wfclimres/era/windpower_offshore/ec-earth3/ssp370/day/gen/d03/
windpower_offshore,WRF,ERA,ERA5,reanalysis,1hr,cf,d03,s3://wfclimres/era/windpower_offshore/era5/reanalysis/1hr/cf/d03/
windpower_offshore,WRF,ERA,ERA5,reanalysis,1hr,gen,d03,s3://wfclimres/era/windpower_offshore/era5/reanalysis/1hr/gen/d03/
windpower_offshore,WRF,ERA,ERA5,reanalysis,day,cf,d03,s3://wfclimres/era/windpower_offshore/era5/reanalysis/day/cf/d03/
windpower_offshore,WRF,ERA,ERA5,reanalysis,day,gen,d03,s3://wfclimres/era/windpower_offshore/era5/reanalysis/day/gen/d03/
windpower_offshore,WRF,ERA,MIROC6,historical,1hr,cf,d03,s3://wfclimres/era/windpower_offshore/miroc6/historical/1hr/cf/d03/
windpower_offshore,WRF,ERA,MIROC6,historical,1hr,gen,d03,s3://wfclimres/era/windpower_offshore/miroc6/historical/1hr/gen/d03/
windpower_offshore,WRF,ERA,MIROC6,historical,day,cf,d03,s3://wfclimres/era/windpower_offshore/miroc6/historical/day/cf/d03/
windpower_offshore,WRF,ERA,MIROC6,historical,day,gen,d03,s3://wfclimres/era/windpower_offshore/miroc6/historical/day/gen/d03/
windpower_offshore,WRF,ERA,MIROC6,ssp370,1hr,cf,d03,s3://wfclimres/era/windpower_offshore/miroc6/ssp370/1hr/cf/d03/
windpower_offshore,WRF,ERA,MIROC6,ssp370,1hr,gen,d03,s3://wfclimres/era/windpower_offshore/miroc6/ssp370/1hr/gen/d03/
windpower_offshore,WRF,ERA,MIROC6,ssp370,day,cf,d03,s3://wfclimres/era/windpower_offshore/miroc6/ssp370/day/cf/d03/
windpower_offshore,WRF,ERA,MIROC6,ssp370,day,gen,d03,s3://wfclimres/era/windpower_offshore/miroc6/ssp370/day/gen/d03/
windpower_offshore,WRF,ERA,MPI-ESM1-2-HR,historical,1hr,cf,d03,s3://wfclimres/era/windpower_offshore/mpi-esm1-2-hr/historical/1hr/cf/d03/
windpower_offshore,WRF,ERA,MPI-ESM1-2-HR,historical,1hr,gen,d03,s3://wfclimres/era/windpower_offshore/mpi-esm1-2-hr/historical/1hr/gen/d03/
windpower_offshore,WRF,ERA,MPI-ESM1-2-HR,historical,day,cf,d03,s3://wfclimres/era/windpower_offshore/mpi-esm1-2-hr/historical/day/cf/d03/
windpower_offshore,WRF,ERA,MPI-ESM1-2-HR,historical,day,gen,d03,s3://wfclimres/era/windpower_offshore/mpi-esm1-2-hr/historical/day/gen/d03/
windpower_offshore,WRF,ERA,MPI-ESM1-2-HR,ssp370,1hr,cf,d03,s3://wfclimres/era/windpower_offshore/mpi-esm1-2-hr/ssp370/1hr/cf/d03/
windpower_offshore,WRF,ERA,MPI-ESM1-2-HR,ssp370,1hr,gen,d03,s3://wfclimres/era/windpower_offshore/mpi-esm1-2-hr/ssp370/1hr/gen/d03/
windpower_offshore,WRF,ERA,MPI-ESM1-2-HR,ssp370,day,cf,d03,s3://wfclimres/era/windpower_offshore/mpi-esm1-2-hr/ssp370/day/cf/d03/
windpower_offshore,WRF,ERA,MPI-ESM1-2-HR,ssp370,day,gen,d03,s3://wfclimres/era/windpower_offshore/mpi-esm1-2-hr/ssp370/day/gen/d03/
